 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 776232 science WASP33b   2:26:10.50 +37:36:55.5  2000.00 20:49 1.027  WFC    5.1  180  i                                
 776233 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:49 1.028  WFC    5.1  180  i                                
 776234 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:50 1.028  WFC    4.6  180  i                                
 776235 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:50 1.028  WFC    5.1  180  i                                
 776236 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:50 1.028  WFC    5.1  180  i                                
 776237 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:51 1.028  WFC    5.1  180  i                                
 776238 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:51 1.029  WFC    5.1  180  i                                
 776239 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:51 1.029  WFC    5.1  180  i                                
 776240 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:51 1.029  WFC    5.1  180  i                                
 776241 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:52 1.029  WFC    5.1  180  i                                
 776242 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:52 1.029  WFC    5.1  180  i                                
 776243 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:52 1.029  WFC    5.1  180  i                                
 776244 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:52 1.030  WFC    5.1  180  i                                
 776245 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:53 1.030  WFC    5.1  180  i                                
 776246 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:53 1.030  WFC    5.1  180  i                                
 776247 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:53 1.030  WFC    4.5  180  i                                
 776248 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:53 1.030  WFC    5.1  180  i                                
 776249 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:54 1.030  WFC    5.1  180  i                                
 776250 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:54 1.031  WFC    5.1  180  i                                
 776251 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:54 1.031  WFC    5.1  180  i                                
 776252 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:54 1.031  WFC    5.1  180  i                                
 776253 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:55 1.031  WFC    5.1  180  i                                
 776254 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:55 1.031  WFC    5.1  180  i                                
 776255 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:55 1.032  WFC    4.6  180  i                                
 776256 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:55 1.032  WFC    5.1  180  i                                
 776257 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:56 1.032  WFC    5.1  180  i                                
 776258 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:56 1.032  WFC    5.1  180  i                                
 776259 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:56 1.032  WFC    5.1  180  i                                
 776260 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:56 1.033  WFC    5.1  180  i                                
 776261 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:57 1.033  WFC    5.1  180  i                                
 776262 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:57 1.033  WFC    5.1  180  i                                
 776263 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:57 1.033  WFC    5.1  180  i                                
 776264 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:57 1.033  WFC    5.1  180  i                                
 776265 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:58 1.034  WFC    5.1  180  i                                
 776266 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:58 1.034  WFC    5.1  180  i                                
