 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 722627 WD0837+185        8:40:13.30 +18:43:25.9  2000.00 00:46 1.108  WFC  179.5  180  i                                
 722628 WD1035+212       10:35:32.52 +21:26:03.4  2000.00 00:52 1.009  WFC   60.0  180  r                                
 722629 WD1035+212       10:35:32.52 +21:26:03.5  2000.00 00:54 1.009  WFC   60.0  180  r                                
 722630 WD1035+212       10:35:32.52 +21:26:03.5  2000.00 00:56 1.008  WFC   60.0  180  r                                
 722631 HE1043-0502      10:46:09.89 -05:18:17.0  2000.00 01:00 1.209  WFC   60.0  180  V                                
 722632 HE1043-0502      10:46:09.89 -05:18:16.9  2000.00 01:02 1.208  WFC   60.0  180  V                                
 722633 HE1043-0502      10:46:09.89 -05:18:17.0  2000.00 01:04 1.208  WFC   60.0  180  V                                
 722634 ULAS0822+0730     8:22:58.96 +07:30:20.1  2000.00 01:10 1.303  WFC  179.5  180  z                                
 722635 ULAS0822+0730     8:22:58.96 +07:30:20.1  2000.00 01:14 1.318  WFC  180.0  180  z                                
 722636 WD0803+122        8:03:59.92 +12:29:43.9  2000.00 01:20 1.366  WFC   60.0  180  r                                
 722637 WD0803+122        8:03:59.93 +12:29:43.9  2000.00 01:21 1.375  WFC   60.0  180  r                                
 722638 WD0803+122        8:03:59.92 +12:29:43.8  2000.00 01:23 1.384  WFC   60.1  180  r                                
 722639 WD0851+120        8:51:06.11 +12:01:57.7  2000.00 01:26 1.217  WFC   60.0  180  r                                
 722640 WD0851+120        8:51:06.11 +12:01:57.8  2000.00 01:28 1.223  WFC   60.1  180  r                                
 722641 WD0851+120        8:51:06.11 +12:01:57.8  2000.00 01:30 1.228  WFC   60.1  180  r                                
 722642 LB8915            8:56:19.00 +16:11:04.9  2000.00 01:33 1.191  WFC   20.1  180  V                                
 722643 LB8915            8:56:19.00 +16:11:05.0  2000.00 01:34 1.194  WFC   20.1  180  V                                
 722644 LB8915            8:56:19.00 +16:11:05.0  2000.00 01:36 1.198  WFC   20.1  180  V                                
 722645 WD0837+185        8:40:13.29 +18:43:26.0  2000.00 01:40 1.253  WFC  180.0  180  i                                
 722646 WD0837+185        8:40:13.29 +18:43:26.0  2000.00 01:44 1.267  WFC  180.0  180  i                                
 722647 WD0855+416        8:58:30.85 +41:26:35.1  2000.00 01:51 1.186  WFC   30.1  180  r                                
 722648 WD0855+416        8:58:30.84 +41:26:35.1  2000.00 01:53 1.189  WFC   30.1  180  r                                
 722649 WD0855+416        8:58:30.84 +41:26:35.1  2000.00 01:54 1.192  WFC   30.1  180  r                                
 722650 WD0911+059        9:14:37.40 +05:44:53.3  2000.00 01:57 1.304  WFC   60.1  180  r                                
 722651 WD0911+059        9:14:37.40 +05:44:53.2  2000.00 01:59 1.311  WFC   60.1  180  r                                
 722652 WD0911+059        9:14:37.39 +05:44:53.2  2000.00 02:01 1.318  WFC   60.0  180  r                                
 722653 G195-19           9:15:56.23 +53:25:24.8  2000.00 02:05 1.235  WFC   10.1  180  V                                
 722654 G195-19           9:15:56.23 +53:25:24.9  2000.00 02:06 1.237  WFC   10.1  180  V                                
 722655 G195-19           9:15:56.23 +53:25:24.9  2000.00 02:07 1.239  WFC   10.1  180  V                                
 722656 ULAS0822+0730     8:22:58.95 +07:30:20.1  2000.00 02:13 1.664  WFC  179.5  180  z                                
 722657 ULAS0822+0730     8:22:58.96 +07:30:20.1  2000.00 02:17 1.697  WFC  180.0  180  z                                
 722658 WD0837+185        8:40:13.30 +18:43:26.0  2000.00 02:26 1.467  WFC  180.0  180  i                                
 722659 WD0837+185        8:40:13.29 +18:43:25.9  2000.00 02:30 1.491  WFC  180.0  180  i                                
 722660 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 02:44 1.086  WFC   30.1  180  i                                
 722661 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 02:46 1.084  WFC   30.1  180  i                                
 722662 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 02:47 1.082  WFC   30.0  180  i                                
 722663 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 02:48 1.081  WFC   30.1  180  i                                
 722664 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 02:49 1.079  WFC   30.1  180  i                                
 722665 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 02:51 1.078  WFC   30.1  180  i                                
 722666 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 02:52 1.076  WFC   30.1  180  i                                
 722667 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 02:53 1.075  WFC   30.1  180  i                                
