INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 25 05:55

TELESCOPE             INT
DATE                  20060724
OBSERVER/S            P. Groot
PROGRAMME             UVEX: The UV Excess survey of the Galactic Plane
PROPOSAL REF          N01
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           20:16
EVENING TWILIGHT (UT) 21:38
MORNING TWILIGHT (UT) 04:59
SUNRISE (UT)          06:21
%ILLUM. LUNAR DISK    0
DARK TIME (HRS)       07:21
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         No Moon all night
MOONSET (UT)          No Moon all night

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           01:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
calima all night, clouds at the end of the night. Seeing: beginning 0.8, end 1.5

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517618 uvex_4553 He1    19:07:57.91 -00:13:59.7 2000.00  22:55 1.204  WFC  120.0  180  HeI 5870                         
 517619 uvex_4553 r      19:07:57.91 -00:13:59.9 2000.00  22:58 1.201  WFC   30.1  180  r                                
 517620 uvex_4553 U      19:07:57.91 -00:14:00.0 2000.00  22:59 1.197  WFC  120.0  180  U                                
 517621 uvex_4553 g      19:07:57.91 -00:14:00.0 2000.00  23:02 1.194  WFC   30.1  180  g                                
 517622 uvex_4568o He1   19:09:03.72 -01:04:00.1 2000.00  23:03 1.203  WFC  120.0  180  HeI 5870                         
 517623 uvex_4568o r     19:09:03.73 -01:04:00.0 2000.00  23:05 1.200  WFC   29.5  180  r                                
 517624 uvex_4568o U     19:09:03.73 -01:03:59.9 2000.00  23:07 1.197  WFC  120.0  180  U                                
 517625 uvex_4568o g     19:09:03.73 -01:03:59.9 2000.00  23:09 1.194  WFC   29.6  180  g                                
 517626 uvex_4582 He1    19:09:26.63 -00:36:00.3 2000.00  23:11 1.186  WFC  120.0  180  HeI 5870                         
 517627 uvex_4582 r      19:09:26.62 -00:36:00.0 2000.00  23:13 1.184  WFC   30.1  180  r                                
 517628 uvex_4582 U      19:09:26.63 -00:35:59.9 2000.00  23:14 1.181  WFC  120.0  180  U                                
 517629 uvex_4582 g      19:09:26.62 -00:35:59.9 2000.00  23:17 1.179  WFC   30.1  180  g                                
 517630 uvex_4598 He1    19:10:12.85 -01:31:00.1 2000.00  23:18 1.189  WFC  120.0  180  HeI 5870                         
 517631 uvex_4598 r      19:10:12.85 -01:31:00.0 2000.00  23:21 1.186  WFC   30.1  180  r                                
 517632 uvex_4598 U      19:10:12.85 -01:30:59.9 2000.00  23:22 1.184  WFC  120.0  180  U                                
 517633 uvex_4598 g      19:10:12.85 -01:30:59.9 2000.00  23:25 1.182  WFC   30.1  180  g                                
 517634 uvex_4613 He1    19:10:55.58 -00:58:00.0 2000.00  23:26 1.174  WFC  120.0  180  HeI 5870                         
 517635 uvex_4613 r      19:10:55.57 -00:58:00.0 2000.00  23:29 1.172  WFC   30.1  180  r                                
 517636 uvex_4613 U      19:10:55.58 -00:57:59.9 2000.00  23:30 1.170  WFC  120.0  180  U                                
 517637 uvex_4613 g      19:10:55.58 -00:58:00.0 2000.00  23:33 1.168  WFC   30.1  180  g                                
 517638 uvex_4628 He1    19:11:38.35 -00:25:00.1 2000.00  23:34 1.161  WFC  120.0  180  HeI 5870                         
 517639 uvex_4628 r      19:11:38.35 -00:25:00.0 2000.00  23:36 1.159  WFC   30.1  180  r                                
 517640 uvex_4628 U      19:11:38.35 -00:25:00.0 2000.00  23:38 1.158  WFC  120.0  180  U                                
 517641 uvex_4628 g      19:11:38.35 -00:24:59.9 2000.00  23:40 1.156  WFC   30.1  180  g                                
 517642 SA 110 He1 20s   18:42:21.12 +00:12:02.9 2000.00  23:42 1.138  WFC   20.1  180  HeI 5870                         
 517643 SA 110 r 2s      18:42:21.11 +00:12:02.9 2000.00  23:44 1.138  WFC    2.1  180  r                                
 517644 SA 110 r 2s      18:42:21.11 +00:12:02.9 2000.00  23:48 1.138  WFC    2.1  180  g                                g not r
 517645 SA 110 U 20s     18:42:21.11 +00:12:03.1 2000.00  23:50 1.139  WFC   20.1  180  U                                
 517646 uvex_6373 He1    21:04:41.33 +43:46:00.0 2000.00  23:55 1.154  WFC  119.5  180  HeI 5870                         
 517647 uvex_6373 r      21:04:41.34 +43:45:59.4 2000.00  23:57 1.150  WFC   30.1  180  r                                
 517649 Focus check afte 21:04:41.34 +43:45:59.4 2000.00  00:04 1.138  WFC    5.1  180  r                                
 517650 Focus run        21:04:41.34 +43:45:59.5 2000.00  00:11 1.129  WFC   10.1  180  r                                
 517651 uvex_6372 He1    21:04:36.08 +54:12:59.7 2000.00  00:16 1.181  WFC  120.0  180  HeI 5870                         
 517652 uvex_6372 r      21:04:36.09 +54:12:59.5 2000.00  00:18 1.179  WFC   30.1  180  r                                
 517653 uvex_6372 U      21:04:36.08 +54:12:59.3 2000.00  00:20 1.176  WFC  120.0  180  U                                
 517654 uvex_6372 g      21:04:36.08 +54:12:59.3 2000.00  00:22 1.173  WFC   30.1  180  g                                
 517655 uvex_6373 He1    21:04:41.34 +43:45:59.8 2000.00  00:24 1.104  WFC  120.0  180  HeI 5870                         
 517656 uvex_6373 r      21:04:41.33 +43:45:59.4 2000.00  00:27 1.101  WFC   30.1  180  r                                
