 562101 uvex_4619o g     19:11:51.99 +12:52:00.0 2000.00  01:47 1.223  WFC   30.1  180  g                                
 562102 uvex_4620 He1    19:11:32.72 +11:18:59.9 2000.00  01:48 1.229  WFC  119.5  180  HeI 5870                         
 562103 uvex_4620 r      19:11:32.73 +11:19:00.0 2000.00  01:51 1.223  WFC   30.1  180  r                                
 562104 uvex_4620 U      19:11:32.73 +11:18:59.9 2000.00  01:52 1.218  WFC  119.5  180  U                                
 562105 uvex_4620 g      19:11:32.73 +11:19:00.0 2000.00  01:54 1.212  WFC   30.1  180  g                                
 562106 ST_PG1667 HeI    16:59:35.51 +07:42:30.9 2000.00  01:56 1.072  WFC  120.0  180  HeI 5870                         Standard star ST_PG1657
 562107 ST_PG1667 r      16:59:35.52 +07:42:30.9 2000.00  01:59 1.072  WFC   30.1  180  r                                ST_PG1657
 562108 ST_PG1657 U      16:59:35.51 +07:42:31.0 2000.00  02:02 1.073  WFC   30.1  180  U                                Rubbish. Short exp time
 562109 ST_PG1657 U      16:59:35.52 +07:42:31.0 2000.00  02:03 1.073  WFC  120.0  180  U                                
 562110 ST_PG1657 g      16:59:35.52 +07:42:30.9 2000.00  02:07 1.074  WFC   30.1  180  g                                
 562111 HS1857+5144 Ha   18:58:32.00 +51:48:55.9 2000.00  02:13 1.143  WFC  120.0  180  Halpha                           
 562112 HS1857+5144 r    18:58:31.99 +51:48:56.0 2000.00  02:17 1.139  WFC   30.1  180  r                                
 562113 HS1857+5144 i    18:58:32.00 +51:48:56.0 2000.00  02:19 1.138  WFC   10.1  180  i                                
 562114 HS1857+5144 Ha12 18:58:43.00 +51:48:56.0 2000.00  02:26 1.120  WFC 1199.5  180  Halpha                           
 562115 uvex_4620o He1   19:11:53.12 +11:23:59.9 2000.00  02:49 1.096  WFC  120.0  180  HeI 5870                         
 562116 uvex_4620o r     19:11:53.13 +11:24:00.0 2000.00  02:51 1.094  WFC   30.1  180  r                                
 562117 uvex_4620o U     19:11:53.13 +11:24:00.0 2000.00  02:52 1.091  WFC  120.1  180  U                                
 562118 uvex_4620o g     19:11:53.13 +11:23:59.9 2000.00  02:55 1.089  WFC   30.1  180  g                                
 562119 uvex_4629 He1    19:11:46.38 +20:40:00.1 2000.00  02:56 1.044  WFC  120.0  180  HeI 5870                         
 562120 uvex_4629 r      19:11:46.39 +20:39:59.9 2000.00  02:59 1.042  WFC   30.1  180  r                                
