 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 623390 uvex_5304 He1    19:47:27.54 +32:23:59.5  2000.00 01:46 1.002  WFC  180.0  180  HeI 5870                         
 623391 uvex_5304 r      19:47:27.55 +32:23:59.6  2000.00 01:50 1.002  WFC   30.1  180  r                                
 623392 uvex_5304 U      19:47:27.54 +32:23:59.7  2000.00 01:51 1.002  WFC  120.0  180  U                                
 623393 uvex_5304 g      19:47:27.55 +32:23:59.7  2000.00 01:53 1.002  WFC   30.1  180  g                                
 623394 uvex_5304o He1   19:47:51.26 +32:28:59.7  2000.00 01:55 1.002  WFC  180.0  180  HeI 5870                         
 623395 uvex_5304o r     19:47:51.25 +32:28:59.3  2000.00 01:58 1.003  WFC   29.5  180  r                                
 623396 uvex_5304o U     19:47:51.25 +32:28:59.7  2000.00 01:59 1.003  WFC  120.0  180  U                                
 623397 uvex_5304o g     19:47:51.25 +32:28:59.6  2000.00 02:02 1.003  WFC   30.1  180  g                                
 623398 uvex_5305 He1    19:47:41.27 +30:55:59.8  2000.00 02:03 1.002  WFC  180.0  180  HeI 5870                         
 623399 uvex_5305 r      19:47:41.26 +30:55:59.6  2000.00 02:07 1.003  WFC   30.1  180  r                                
 623400 uvex_5305 U      19:47:41.27 +30:55:59.6  2000.00 02:08 1.003  WFC  120.0  180  U                                
 623401 uvex_5305 g      19:47:41.26 +30:55:59.7  2000.00 02:10 1.004  WFC   30.1  180  g                                
 623402 uvex_5305o He1   19:48:04.60 +31:00:59.7  2000.00 02:11 1.005  WFC  179.5  180  HeI 5870                         
 623403 uvex_5305o r     19:48:04.61 +31:00:59.7  2000.00 02:15 1.005  WFC   30.1  180  r                                
 623404 uvex_5305o U     19:48:04.60 +31:00:59.7  2000.00 02:16 1.006  WFC  120.0  180  U                                
 623405 uvex_5305o g     19:48:04.60 +31:00:59.7  2000.00 02:19 1.007  WFC   30.1  180  g                                
 623406 uvex_5308 He1    19:47:51.26 +34:24:59.8  2000.00 02:20 1.012  WFC  180.0  180  HeI 5870                         
