 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 771679 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:14 1.010  WFC   10.1  180  i                                
 771680 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:15 1.010  WFC   10.1  180  i                                
 771681 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:15 1.010  WFC    9.5  180  i                                
 771682 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:15 1.010  WFC   10.1  180  i                                
 771683 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:16 1.010  WFC   10.1  180  i                                
 771684 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:16 1.010  WFC    9.6  180  i                                
 771685 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:16 1.010  WFC    9.6  180  i                                
 771686 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:16 1.009  WFC   10.1  180  i                                
 771687 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:17 1.009  WFC   10.1  180  i                                
 771688 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:17 1.009  WFC   10.1  180  i                                
 771689 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:17 1.009  WFC   10.1  180  i                                
 771690 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:18 1.009  WFC   10.1  180  i                                
 771691 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:18 1.009  WFC   10.1  180  i                                
 771692 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:18 1.009  WFC   10.1  180  i                                
 771693 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:19 1.008  WFC   10.1  180  i                                
 771694 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:19 1.008  WFC    9.6  180  i                                
 771695 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:19 1.008  WFC   10.1  180  i                                
 771696 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:19 1.008  WFC   10.1  180  i                                
 771697 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:20 1.008  WFC   10.0  180  i                                
 771698 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:20 1.008  WFC   10.1  180  i                                
 771699 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:20 1.008  WFC   10.1  180  i                                
 771700 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:21 1.007  WFC   10.1  180  i                                
 771701 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:21 1.007  WFC   10.1  180  i                                
 771702 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:21 1.007  WFC   10.1  180  i                                
 771703 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:21 1.007  WFC   10.1  180  i                                
 771704 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:22 1.007  WFC   10.1  180  i                                
 771705 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:22 1.007  WFC   10.1  180  i                                
 771706 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:22 1.007  WFC   10.1  180  i                                
 771707 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:23 1.006  WFC   10.1  180  i                                
 771708 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:23 1.006  WFC   10.1  180  i                                
 771709 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:23 1.006  WFC   10.1  180  i                                
 771710 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:23 1.006  WFC    9.6  180  i                                
 771711 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:24 1.006  WFC   10.1  180  i                                
 771712 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:24 1.006  WFC   10.1  180  i                                
 771713 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:24 1.006  WFC    9.5  180  i                                
 771714 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:25 1.006  WFC   10.1  180  i                                
 771715 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:25 1.006  WFC   10.1  180  i                                
 771716 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:25 1.005  WFC   10.1  180  i                                
 771717 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:26 1.005  WFC   10.1  180  i                                
 771718 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:26 1.005  WFC   10.1  180  i                                
 771719 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:26 1.005  WFC   10.1  180  i                                
 771720 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:26 1.005  WFC   10.1  180  i                                
 771721 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:27 1.005  WFC   10.1  180  i                                
 771722 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:27 1.005  WFC   10.1  180  i                                
 771723 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:27 1.005  WFC   10.1  180  i                                
 771724 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:28 1.005  WFC   10.1  180  i                                
 771725 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:28 1.004  WFC   10.1  180  i                                
 771726 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:28 1.004  WFC   10.1  180  i                                
 771727 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:28 1.004  WFC   10.1  180  i                                
 771728 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:29 1.004  WFC   10.1  180  i                                
 771729 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:29 1.004  WFC   10.1  180  i                                
 771730 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:29 1.004  WFC   10.1  180  i                                
 771731 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:30 1.004  WFC   10.1  180  i                                
 771732 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:30 1.004  WFC   10.1  180  i                                
 771733 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:30 1.004  WFC   10.1  180  i                                
 771734 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:30 1.004  WFC   10.1  180  i                                
 771735 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:31 1.003  WFC   10.1  180  i                                
 771736 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:31 1.003  WFC   10.1  180  i                                
 771737 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:31 1.003  WFC   10.1  180  i                                
 771738 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:32 1.003  WFC   10.1  180  i                                
 771739 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:32 1.003  WFC   10.1  180  i                                
 771740 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:32 1.003  WFC   10.1  180  i                                
