 447436 HNzo0200 I 30s   13:00:20.66 +45:38:29.2 2000.00  02:00 1.145  WFC   30.1  180  i                                
 447437 qso1156 I 120s   11:59:31.90 +29:14:43.7 2000.00  02:03 1.310  WFC  120.0  180  i                                
 447438 qso1156 I 120s   11:59:31.90 +29:14:43.8 2000.00  02:05 1.321  WFC  119.5  180  i                                
 447439 qso1156 G 120s   11:59:31.90 +29:14:43.7 2000.00  02:17 1.374  WFC  120.1  180  g                                
 447441 qso1156 G 120s   11:59:31.90 +29:14:43.9 2000.00  02:21 1.395  WFC  120.0  180  g                                
 447442 qso1156 G 120s   11:59:31.89 +29:14:43.7 2000.00  02:24 1.409  WFC  120.1  180  g                                
 447443 tuboo G 1s       14:04:58.99 +29:59:59.8 2000.00  02:27 1.053  WFC    0.7  180  g                                
 447444 tuboo R 1s       14:04:59.00 +30:00:00.0 2000.00  02:28 1.054  WFC    1.6  180  r                                
 447445 doldzim6 i 40s   16:43:36.00 +38:21:59.9 2000.00  02:31 1.048  WFC   40.1  180  i                                
 447446 doldzim6 g 40s   16:43:36.00 +38:22:00.0 2000.00  02:33 1.047  WFC   40.1  180  g                                
 447447 doldzim6 g 80s   16:43:36.00 +38:21:59.9 2000.00  02:34 1.045  WFC   80.0  180  g                                
 447448 doldzim6 i 80s   16:43:35.99 +38:22:00.0 2000.00  02:37 1.043  WFC   79.5  180  i                                
 447449 doldzim6 i 160s  16:43:35.99 +38:22:00.0 2000.00  02:39 1.040  WFC  160.0  180  i                                
 447450 doldzim6 g 160s  16:43:35.99 +38:22:00.0 2000.00  02:42 1.037  WFC  160.0  180  g                                
 447451 doldzim6 g 320s  16:43:35.99 +38:21:59.9 2000.00  02:46 1.034  WFC  319.9  180  g                                
 447452 doldzim6 i 320s  16:43:35.99 +38:22:00.0 2000.00  02:52 1.029  WFC  320.1  180  i                                
 447453 tuboo R 1s       14:04:58.99 +30:00:00.0 2000.00  03:00 1.106  WFC    1.4  180  r                                
 447454 tuboo G 1s       14:04:59.00 +30:00:00.0 2000.00  03:01 1.108  WFC    1.6  180  g                                
 447455 HNZO0300 I 30s   12:59:59.89 +45:31:35.7 2000.00  03:03 1.300  WFC   30.1  180  i                                
 447456 HNZO0300 I 30s   12:59:59.89 +45:31:35.7 2000.00  03:04 1.303  WFC   30.1  180  i                                
 447457 doldzim5 i 10s   17:23:58.80 +24:14:00.1 2000.00  03:07 1.047  WFC   10.1  180  i                                
 447458 doldzim8 i 40s   17:23:58.80 +24:13:59.9 2000.00  03:09 1.046  WFC   39.5  180  i                                
 447459 doldzim8 i 80s   17:23:58.79 +24:14:00.0 2000.00  03:10 1.043  WFC   80.1  180  i                                
 447460 doldzim8 i 160s  17:23:58.79 +24:14:00.0 2000.00  03:12 1.040  WFC  159.5  180  i                                
 447461 doldzim8 g 10s   17:23:58.80 +24:14:00.0 2000.00  03:16 1.037  WFC   10.1  180  g                                
 447462 doldzim8 g 40s   17:23:58.80 +24:13:59.9 2000.00  03:17 1.036  WFC   40.1  180  g                                
 447463 doldzim8 g 80s   17:23:58.79 +24:14:00.0 2000.00  03:19 1.034  WFC   80.0  180  g                                
 447464 doldzim8 g 160s  17:23:58.80 +24:13:59.9 2000.00  03:21 1.031  WFC  160.0  180  g                                
 447465 doldzim6 g 10s   16:43:36.00 +38:21:59.9 2000.00  03:26 1.016  WFC   10.1  180  g                                
 447466 tuboo R 1s       14:04:58.99 +30:00:00.0 2000.00  03:28 1.172  WFC    1.0  180  r                                
 447467 tuboo G 1s       14:04:58.99 +30:00:00.0 2000.00  03:30 1.176  WFC    1.1  180  g                                
 447468 stephenson1 g 2s 18:53:36.30 +36:54:59.9 2000.00  03:35 1.152  WFC    2.1  180  g                                
 447469 stephenson1 i 2s 18:53:36.29 +36:55:00.0 2000.00  03:36 1.150  WFC    2.1  180  i                                
 447470 stephenson i 10s 18:53:36.30 +36:55:00.0 2000.00  03:36 1.147  WFC   10.1  180  i                                
 447471 stephenson g 10s 18:53:36.30 +36:54:59.9 2000.00  03:38 1.144  WFC   10.1  180  g                                
 447472 M15 30s I        21:30:00.00 +12:10:00.0 2000.00  03:44 2.619  WFC   29.5  180  i                                
 447473 M15 1s I         21:30:00.00 +12:10:00.0 2000.00  03:45 2.584  WFC    1.7  180  i                                
 447474 M15 600s I       21:30:00.00 +12:09:59.9 2000.00  03:49 2.408  WFC  599.8  180  i                                
 447475 M15 300s G       21:30:00.00 +12:09:59.9 2000.00  04:02 2.212  WFC  299.9  180  g                                
 447476 tuboo G 1s       14:04:58.99 +29:59:59.9 2000.00  04:15 1.332  WFC    1.0  180  g                                
 447477 tuboo R 1s       14:04:58.99 +29:59:59.9 2000.00  04:16 1.337  WFC    1.0  180  r                                
 447478 hnzo0420 I 30    12:59:33.02 +45:22:21.0 2000.00  04:19 1.663  WFC   30.1  180  i                                
 447479 hnzo0420 I 30    12:59:33.02 +45:22:21.0 2000.00  04:20 1.671  WFC   30.1  180  i                                
 447480 cocoon 120 Ha    21:53:24.00 +47:15:59.9 2000.00  04:24 1.690  WFC  120.1  180  Halpha                           
 447481 cocoon 180 Ha    21:53:24.00 +47:15:59.9 2000.00  04:28 1.661  WFC  180.0  180  Halpha                           
 447482 cocoon 300 O3    21:53:24.00 +47:15:59.9 2000.00  04:33 1.623  WFC  299.9  180  [OIII]5007                       
 447483 cocoon 300 Ha    21:53:23.99 +47:15:59.9 2000.00  04:40 1.584  WFC  299.9  180  Halpha                           
 447484 cocoon 90 KPB    21:53:24.00 +47:16:00.0 2000.00  04:46 1.559  WFC   90.0  180  B                                
 447485 cocoon 600 Ha    21:53:24.00 +47:16:00.0 2000.00  04:50 1.518  WFC  599.3  180  Halpha                           
 447486 M20 180s g       18:02:36.00 -23:01:59.9 2000.00  05:03 1.615  WFC  180.0  180  g                                
 447487 M20 180s g, off1 18:02:35.99 -23:00:19.9 2000.00  05:09 1.615  WFC  180.0  180  g                                
 447488 snake 180s h     17:23:29.99 -23:38:00.0 2000.00  05:16 1.703  WFC  180.0  180  Halpha                           
 447490 GRB i 600s       20:28:58.00 +73:39:53.0 2000.00  05:28 1.472  WFC  599.8  180  i                                
 447491 M15 g 1s         21:29:59.99 +12:09:59.5 2000.00  05:44 1.335  WFC    1.0  180  g                                
 447492 M15 g 60s        21:29:59.99 +12:10:00.0 2000.00  05:45 1.329  WFC   60.1  180  g                                
 447493 M15 g 300s       21:29:59.99 +12:10:00.0 2000.00  05:47 1.311  WFC  279.9  180  g                                
