 488764 corot2 y 200      6:42:35.99 +00:46:34.0 2000.00  02:26 1.183  WFC  199.9  180  stromgren y                      
 488765 corot3 r 50       6:45:11.00 +00:08:38.0 2000.00  02:32 1.194  WFC   50.1  180  r                                
 488766 corot3 ha 600     6:45:11.00 +00:08:38.1 2000.00  02:34 1.207  WFC  599.7  180  Halpha                           
 488767 corot3 u 800      6:45:11.00 +00:08:38.1 2000.00  02:46 1.234  WFC  799.1  180  stromgren u                      
 488768 corot3 v 400      6:45:10.96 +00:08:37.8 2000.00  03:01 1.261  WFC  399.9  180  stromgren v                      
 488769 corot3 b 200      6:45:11.00 +00:08:37.8 2000.00  03:09 1.279  WFC  200.0  180  stromgren b                      
 488770 corot3 y 200      6:45:11.00 +00:08:38.0 2000.00  03:13 1.293  WFC  199.9  180  stromgren y                      
 488771 corot4 r 50       6:42:39.99 +00:07:25.9 2000.00  03:19 1.316  WFC   50.1  180  r                                
 488772 corot4 ha 600     6:42:39.99 +00:07:25.9 2000.00  03:21 1.339  WFC  599.8  180  Halpha                           
 488773 corot4 u 800      6:42:40.00 +00:07:25.9 2000.00  03:34 1.398  WFC  799.1  180  stromgren u                      
 488774 corot4 v 400      6:42:39.99 +00:07:25.9 2000.00  03:49 1.450  WFC  399.3  180  stromgren v                      
 488775 corot4 b 200      6:42:40.00 +00:07:25.9 2000.00  03:57 1.482  WFC  200.0  180  stromgren b                      
 488776 corot4 y 200      6:42:39.99 +00:07:26.0 2000.00  04:02 1.507  WFC  199.9  180  stromgren y                      
 488777 ngc2169 r 5       6:08:00.00 +13:56:59.9 2000.00  04:08 1.530  WFC    5.1  180  r                                
 488778 ngc2169 ha 60     6:07:59.99 +13:57:00.1 2000.00  04:10 1.543  WFC   60.0  180  Halpha                           
 488779 ngc2169 u 80      6:07:59.99 +13:56:59.8 2000.00  04:12 1.563  WFC   80.1  180  stromgren u                      
 488780 ngc2169 v 40      6:08:00.00 +13:57:00.2 2000.00  04:15 1.579  WFC   40.1  180  stromgren v                      
 488781 ngc2169 b 20      6:07:59.99 +13:57:00.0 2000.00  04:17 1.592  WFC   20.1  180  stromgren b                      
 488782 ngc2169 y 20      6:07:59.99 +13:57:00.1 2000.00  04:18 1.604  WFC   19.5  180  stromgren y                      
 488783 ngc2682 r 5       8:51:00.00 +11:47:59.9 2000.00  04:22 1.073  WFC    4.5  180  r                                
 488784 ngc2682 ha 60     8:50:59.99 +11:47:59.9 2000.00  04:23 1.075  WFC   60.1  180  Halpha                           
 488785 ngc2682 u 80      8:50:59.99 +11:47:59.9 2000.00  04:26 1.077  WFC   80.0  180  stromgren u                      
 488786 ngc2682 v 40      8:51:00.00 +11:48:00.0 2000.00  04:29 1.080  WFC   40.1  180  stromgren v                      
 488787 ngc2682 b 20      8:50:59.99 +11:48:00.0 2000.00  04:31 1.082  WFC   20.1  180  stromgren b                      
 488788 ngc2682 y 20      8:51:00.00 +11:47:59.8 2000.00  04:32 1.084  WFC   20.1  180  stromgren y                      
 488789 varuna 50         7:11:06.00 +25:09:50.9 2000.00  04:37 1.263  WFC   50.1  180  r                                
 488790 varuna 200        7:11:06.00 +25:09:50.8 2000.00  04:42 1.288  WFC  199.9  180  r                                
 488791 varuna 200        7:11:05.99 +25:09:51.0 2000.00  05:54 1.729  WFC  199.9  180  r                                
 488792 ngc2682 r 5       8:51:00.00 +11:48:00.0 2000.00  06:09 1.332  WFC    4.5  180  r                                
 488793 ngc2682 ha 60     8:51:00.00 +11:48:00.0 2000.00  06:11 1.341  WFC   60.1  180  Halpha                           
 488794 ngc2682 u 80      8:50:59.99 +11:48:00.0 2000.00  06:14 1.355  WFC   80.0  180  stromgren u                      
 488795 ngc2682 v 40      8:51:00.00 +11:47:59.9 2000.00  06:17 1.368  WFC   40.1  180  stromgren v                      
 488796 ngc2682 b 20      8:51:00.00 +11:48:00.0 2000.00  06:20 1.380  WFC   20.1  180  stromgren b                      
 488797 ngc2682 y 20      8:51:00.00 +11:47:59.9 2000.00  06:22 1.389  WFC   20.0  180  stromgren y                      
 488798 varuna 200        7:11:06.00 +25:09:51.0 2000.00  06:26 2.098  WFC  200.0  180  r                                
 488799 Bias             15:02:00.00 +29:55:00.0 2000.00  06:42 1.270  WFC    0.0  180  r                                
 488800 Bias             15:02:00.00 +29:55:00.0 2000.00  06:44 1.265  WFC    0.0  180  r                                
 488801 Bias             15:02:00.00 +29:55:00.0 2000.00  06:45 1.261  WFC    0.0  180  r                                
 488802 Bias             15:01:59.99 +29:55:00.0 2000.00  06:45 1.258  WFC    0.0  180  r                                
 488803 Bias             15:02:00.00 +29:55:00.0 2000.00  06:46 1.255  WFC    0.0  180  r                                
 488804 Bias             15:01:59.99 +29:55:00.0 2000.00  06:47 1.252  WFC    0.0  180  r                                
 488805 Bias             15:02:00.00 +29:54:59.9 2000.00  06:48 1.249  WFC    0.0  180  r                                
 488806 Bias             15:01:59.99 +29:54:59.9 2000.00  06:49 1.246  WFC    0.0  180  r                                
 488807 Bias             15:01:59.99 +29:54:59.9 2000.00  06:50 1.242  WFC    0.0  180  r                                
 488808 Bias             15:02:00.00 +29:54:59.9 2000.00  06:51 1.239  WFC    0.0  180  r                                
 488809 Bias             15:02:00.00 +29:55:00.0 2000.00  06:55 1.227  WFC    0.0  180  r                                
 488810 Bias             15:02:00.00 +29:54:59.9 2000.00  06:56 1.224  WFC    0.0  180  r                                
 488811 Bias             15:02:00.00 +29:55:00.0 2000.00  06:56 1.221  WFC    0.0  180  r                                
 488812 Bias             15:01:59.99 +29:55:00.0 2000.00  06:57 1.218  WFC    0.0  180  r                                
 488813 Bias             15:01:59.99 +29:55:00.0 2000.00  06:58 1.215  WFC    0.0  180  r                                
 488814 Flat field        9:13:48.99 +46:13:57.9 2000.00  07:16 1.378  WFC   10.1  180  r                                
 488815 Flat field        9:13:49.00 +46:13:57.9 2000.00  07:20 1.393  WFC   10.1  180  r                                
 488816 Flat field        9:13:48.99 +46:13:57.9 2000.00  07:25 1.413  WFC   10.1  180  r                                
 488817 Flat field        9:13:49.00 +46:13:58.0 2000.00  07:29 1.434  WFC   10.1  180  r                                
 488818 Flat field        9:13:49.00 +46:13:57.9 2000.00  07:31 1.440  WFC   10.1  180  r                                
 488819 Flat field        9:13:48.99 +46:13:58.0 2000.00  07:32 1.447  WFC   10.1  180  stromgren y                      
 488820 Flat field        9:13:48.99 +46:13:57.9 2000.00  07:34 1.458  WFC   10.1  180  stromgren y                      
 488821 Flat field        9:13:49.00 +46:13:58.0 2000.00  07:37 1.468  WFC   10.1  180  stromgren y                      
 488822 Flat field        9:13:49.00 +46:13:57.9 2000.00  07:38 1.474  WFC   10.1  180  stromgren y                      
 488823 Flat field        9:13:49.00 +46:13:57.9 2000.00  07:39 1.480  WFC   10.1  180  stromgren b                      
 488824 Flat field        9:13:49.00 +46:13:58.0 2000.00  07:41 1.487  WFC    3.5  180  stromgren b                      
 488825 Flat field        9:13:49.00 +46:13:58.0 2000.00  07:42 1.494  WFC    5.6  180  stromgren v                      
 488826 Flat field        9:13:48.99 +46:13:58.0 2000.00  07:43 1.501  WFC    6.1  180  Halpha                           
 488827 Flat field        9:13:49.00 +46:13:58.0 2000.00  07:45 1.509  WFC    3.1  180  Halpha                           
 488828 Flat field        9:13:48.99 +46:13:58.0 2000.00  07:46 1.515  WFC    3.1  180  stromgren u                      
 488829 Flat field        9:13:48.99 +46:13:57.9 2000.00  07:47 1.522  WFC    3.1  180  stromgren u                      
 488830 Bias             16:59:59.99 +30:00:00.0 2005.995 12:02 1.005  WFC    0.0  180  stromgren y                      
 488831 Flat field        2:15:00.00 -09:59:59.9 2000.00  18:29 1.602  WFC    3.1  180  stromgren u                      
 488832 Flat field        2:14:59.99 -09:59:59.9 2000.00  18:31 1.589  WFC    4.5  180  stromgren u                      
 488833 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:34 1.575  WFC    5.1  180  stromgren u                      
 488834 Flat field        2:15:00.00 -09:59:59.9 2000.00  18:36 1.564  WFC    4.5  180  stromgren u                      
 488835 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:37 1.557  WFC    5.0  180  stromgren u                      
 488836 Flat field        2:14:59.99 -10:00:00.0 2000.00  18:39 1.550  WFC    5.1  180  stromgren u                      
 488837 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:40 1.544  WFC    5.1  180  stromgren u                      
 488838 Flat field        2:15:00.00 -10:00:00.0 2000.00  18:41 1.539  WFC    4.6  180  Halpha                           
 488839 Flat field        2:14:59.99 -10:00:00.0 2000.00  18:42 1.533  WFC    8.1  180  Halpha                           
