 458419 P2004H2 r'       22:48:35.03 -11:27:55.8 2000.00  04:26 1.340  WFC  209.4  180  r                                
 458420 40P r'           21:02:42.16 -14:49:23.8 2000.00  04:36 1.453  WFC   84.5  180  r                                
 458421 40P r'           21:02:41.81 -14:49:25.7 2000.00  04:39 1.458  WFC   85.0  180  r                                
 458422 40P r'           21:02:42.65 -14:49:19.3 2000.00  04:41 1.464  WFC   85.0  180  r                                
 458423 40P r'           21:02:41.40 -14:49:38.8 2000.00  04:43 1.469  WFC   85.0  180  r                                
 458424 40P i'           21:02:41.40 -14:49:39.0 2000.00  04:47 1.481  WFC   85.0  180  i                                
 458425 40P V            21:02:41.41 -14:49:39.0 2000.00  04:50 1.488  WFC   85.0  180  V                                
 458426 40P r'           21:02:42.43 -14:49:24.0 2000.00  04:55 1.502  WFC   84.5  180  r                                
 458427 40P r'           21:02:41.80 -14:49:22.2 2000.00  04:57 1.509  WFC   84.5  180  r                                
 458428 40P r'           21:02:42.44 -14:49:23.8 2000.00  05:00 1.519  WFC   85.0  180  r                                
 458429 40P r'           21:02:41.81 -14:49:22.3 2000.00  05:02 1.527  WFC   85.0  180  r                                
 458430 P2004H2 r'       22:48:34.34 -11:27:48.1 2000.00  05:06 1.309  WFC  210.0  180  r                                
 458431 P2004H2 r'       22:48:34.35 -11:27:44.7 2000.00  05:12 1.308  WFC  209.9  180  r                                
 458432 P2004H2 r'       22:48:35.02 -11:27:44.1 2000.00  05:17 1.308  WFC  210.0  180  r                                
 458433 SKYFLAT U        22:57:59.99 +00:05:00.0 2000.00  05:35 1.142  WFC  399.3  180  U                                saturated
 458434 SKYFLAT U        22:58:02.00 +00:05:29.9 2000.00  05:43 1.144  WFC  170.0  180  U                                saturated
 458435 SKYFLAT U        22:58:02.00 +00:05:30.0 2000.00  05:47 1.145  WFC   40.1  180  U                                
 458436 SKYFLAT U        22:58:02.00 +00:05:29.9 2000.00  05:49 1.146  WFC   15.1  180  U                                
 458437 SKYFLAT U        22:58:01.99 +00:05:29.9 2000.00  05:50 1.147  WFC   10.1  180  U                                
 458438 SKYFLAT U        22:58:02.00 +00:05:30.0 2000.00  05:51 1.147  WFC    7.1  180  U                                
 458439 SKYFLAT U        22:58:02.00 +00:05:30.0 2000.00  05:52 1.148  WFC    4.6  180  U                                
