 489449 NGC3402 V 240_3  10:50:26.00 -12:50:41.9 2000.00  06:18 1.409  WFC  240.0  180  V                                
 489450 NGC3402 V 240_4  10:50:26.00 -12:50:41.9 2000.00  06:23 1.421  WFC  239.9  180  V                                
 489451 NGC3402 V 240_5  10:50:25.99 -12:50:42.1 2000.00  06:28 1.434  WFC  239.9  180  V                                
 489452 NGC3402 B 240_1  10:50:26.00 -12:50:41.9 2000.00  06:34 1.450  WFC  239.4  180  B                                
 489453 NGC3402 B 240_2  10:50:26.00 -12:50:41.9 2000.00  06:39 1.465  WFC  240.0  180  B                                
 489454 NGC3402 B 240_3  10:50:25.99 -12:50:41.9 2000.00  06:44 1.482  WFC  239.9  180  B                                
 489455 NGC3402 B 240_4  10:50:26.00 -12:50:41.9 2000.00  06:49 1.500  WFC  239.9  180  B                                
 489456 NGC3402 B 240_5  10:50:26.00 -12:50:41.9 2000.00  06:55 1.519  WFC  239.9  180  B                                
 489457 103-626 U        11:56:46.10 -00:23:14.1 2000.00  07:01 1.167  WFC   60.1  180  B                                B!!!!  landolt
 489458 103-626 U        11:56:46.10 -00:23:14.0 2000.00  07:04 1.170  WFC   60.1  180  U                                
 489459 103-626 B        11:56:46.10 -00:23:13.9 2000.00  07:07 1.173  WFC   30.1  180  B                                
