 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441674 flat_HA_30        0:00:00.00 +00:00:00.0 2000.00  06:22 1.000  WFC   30.1  180  Halpha                           
 441675 flat_HA_10        0:00:00.00 +00:00:00.0 2000.00  06:23 1.000  WFC   10.1  180  Halpha                           
 441676 flat_HA_10        0:00:00.00 +00:00:00.0 2000.00  06:24 1.000  WFC   10.1  180  Halpha                           
 441677 flat_HA_10        0:00:00.00 +00:00:00.0 2000.00  06:25 1.000  WFC    9.5  180  Halpha                           
 441678 flat_HA_10        0:00:00.00 +00:00:00.0 2000.00  06:26 1.000  WFC    9.5  180  Halpha                           
 441679 Bias              0:00:00.00 +00:00:00.0 2000.00  06:33 1.000  WFC    0.0  180  Halpha                           
 441680 Bias              0:00:00.00 +00:00:00.0 2000.00  06:34 1.000  WFC    0.0  180  Halpha                           
 441681 Bias              0:00:00.00 +00:00:00.0 2000.00  06:34 1.000  WFC    0.0  180  Halpha                           
 441682 Bias              0:00:00.00 +00:00:00.0 2000.00  06:35 1.000  WFC    0.0  180  Halpha                           
 441683 Bias              0:00:00.00 +00:00:00.0 2000.00  06:35 1.000  WFC    0.0  180  Halpha                           
 441684 Bias              0:00:00.00 +00:00:00.0 2000.00  06:36 1.000  WFC    0.0  180  Halpha                           
 441685 Bias              0:00:00.00 +00:00:00.0 2000.00  06:36 1.000  WFC    0.0  180  Halpha                           
 441686 Bias              0:00:00.00 +00:00:00.0 2000.00  06:37 1.000  WFC    0.0  180  Halpha                           
 441687 Bias              0:00:00.00 +00:00:00.0 2000.00  06:38 1.000  WFC    0.0  180  Halpha                           
 441688 Bias              0:00:00.00 +00:00:00.0 2000.00  06:38 1.000  WFC    0.0  180  Halpha                           
