 507194 uvex_5285o g     19:46:50.12 +26:58:59.8 2000.00  02:57 1.002  WFC   30.1  180  g                                
 507195 uvex_5287 He1    19:46:28.95 +21:01:59.6 2000.00  02:58 1.011  WFC  120.0  180  HeI 5870                         
 507196 uvex_5287 r      19:46:28.95 +21:01:59.8 2000.00  03:01 1.010  WFC   30.1  180  r                                
 507197 uvex_5287 U      19:46:28.94 +21:01:59.8 2000.00  03:02 1.010  WFC  120.0  180  U                                
 507198 uvex_5287 g      19:46:28.95 +21:01:59.8 2000.00  03:05 1.010  WFC   30.1  180  g                                
 507199 sa110-246 HeI    18:41:50.88 +00:05:09.0 2000.00  03:08 1.179  WFC   30.1  180  HeI 5870                         
 507200 sa110-246 r      18:41:50.87 +00:05:08.9 2000.00  03:09 1.181  WFC    9.6  180  r                                
 507201 sa110-246 U      18:41:50.88 +00:05:09.0 2000.00  03:10 1.183  WFC   30.1  180  U                                
 507202 sa110-246 g      18:41:50.87 +00:05:09.0 2000.00  03:12 1.184  WFC   10.1  180  g                                
 507203 uvex_5263 He1     0:00:00.00 +00:00:00.0 2000.00  03:14 1.002  WFC  120.0  180  HeI 5870                         
 507204 uvex_5263 r      19:45:03.54 +32:12:59.7 2000.00  03:17 1.002  WFC   30.1  180  r                                
 507205 uvex_5263 U      19:45:03.54 +32:12:59.6 2000.00  03:18 1.002  WFC  120.0  180  U                                
 507206 uvex_5263 g      19:45:03.54 +32:12:59.9 2000.00  03:21 1.002  WFC   30.1  180  g                                
 507207 uvex_5263o He1   19:45:27.20 +32:17:59.8 2000.00  03:22 1.003  WFC  119.5  180  HeI 5870                         
 507208 uvex_5263o r     19:45:27.19 +32:17:59.7 2000.00  03:25 1.003  WFC   30.1  180  r                                
 507209 uvex_5263o U     19:45:27.20 +32:17:59.6 2000.00  03:26 1.004  WFC  120.0  180  U                                
 507210 uvex_5263o g     19:45:27.19 +32:17:59.7 2000.00  03:29 1.004  WFC   30.1  180  g                                
 507211 uvex_5264 He1    19:45:18.27 +30:44:59.9 2000.00  03:30 1.003  WFC  120.0  180  HeI 5870                         
 507212 uvex_5264 r      19:45:18.28 +30:44:59.8 2000.00  03:32 1.004  WFC   30.1  180  r                                
 507213 uvex_5264 U      19:45:18.27 +30:44:59.8 2000.00  03:34 1.004  WFC  119.5  180  U                                
 507214 uvex_5264 g      19:45:18.27 +30:44:59.7 2000.00  03:36 1.005  WFC   30.1  180  g                                
 507215 uvex_5264o He1   19:45:41.57 +30:49:59.8 2000.00  03:38 1.006  WFC  119.6  180  HeI 5870                         
 507216 uvex_5264o r     19:45:41.57 +30:49:59.7 2000.00  03:40 1.006  WFC   30.1  180  r                                
 507217 uvex_5264o U     19:45:41.56 +30:49:59.4 2000.00  03:41 1.007  WFC  120.0  180  U                                
 507218 uvex_5264o g     19:45:41.57 +30:49:59.7 2000.00  03:44 1.008  WFC   29.5  180  g                                
 507219 uvex_5265 He1    19:45:24.88 +34:13:59.8 2000.00  03:45 1.013  WFC  120.0  180  HeI 5870                         
 507220 uvex_5265 r      19:45:24.89 +34:13:59.6 2000.00  03:48 1.014  WFC   29.6  180  r                                
 507221 uvex_5265 U      19:45:24.88 +34:13:59.7 2000.00  03:49 1.015  WFC  119.5  180  U                                
 507222 uvex_5265 g      19:45:24.89 +34:13:59.6 2000.00  03:52 1.016  WFC   30.1  180  g                                
 507223 uvex_5265o He1   19:45:49.09 +34:18:59.7 2000.00  03:53 1.017  WFC  120.1  180  HeI 5870                         
 507224 uvex_5265o r     19:45:49.10 +34:18:59.7 2000.00  03:56 1.018  WFC   30.1  180  r                                
 507225 uvex_5265o U     19:45:49.09 +34:18:59.7 2000.00  03:57 1.020  WFC  119.5  180  U                                
 507226 uvex_5265o g     19:45:49.09 +34:18:59.6 2000.00  04:00 1.021  WFC   30.1  180  g                                
 507227 uvex_5276 He1    19:45:45.72 +32:45:59.8 2000.00  04:01 1.020  WFC  120.0  180  HeI 5870                         
 507228 uvex_5276 r      19:45:45.73 +32:45:59.8 2000.00  04:03 1.022  WFC   30.1  180  r                                
