 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 547833 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:14 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547834 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:14 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547835 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:14 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547836 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:15 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547837 CuNe              0:00:00.00 +00:00:00.0 2000.00  17:17 1.000  IDS    1.0    0  Clear+Clear   1.2  65.9 5001.6   
 547838 CuNe              0:00:00.00 +00:00:00.0 2000.00  17:18 1.000  IDS    4.0    0  Clear+Clear   1.2  65.9 5001.6   
 547839 CuNe              0:00:00.00 +00:00:00.0 2000.00  17:18 1.000  IDS    4.0    0  Clear+Clear   1.2  65.9 5001.6   
 547840 CuNe              0:00:00.00 +00:00:00.0 2000.00  17:19 1.000  IDS    4.0    0  Clear+Clear   1.2  65.9 5001.6   
 547841 CuNe              0:00:00.00 +00:00:00.0 2000.00  17:19 1.000  IDS    4.0    0  Clear+Clear   1.2  65.9 5001.6   
 547842 CuNe              0:00:00.00 +00:00:00.0 2000.00  17:20 1.000  IDS    4.0    0  Clear+Clear   1.2  65.9 5001.6   
 547843 CuAr              0:00:00.00 +00:00:00.0 2000.00  17:21 1.000  IDS    1.0    0  Clear+Clear   1.2  65.9 5001.6   
 547844 CuAr              0:00:00.00 +00:00:00.0 2000.00  17:24 1.000  IDS   30.0    0  Clear+Clear   1.2  65.9 5001.6   
 547845 CuAr              0:00:00.00 +00:00:00.0 2000.00  17:25 1.000  IDS   30.0    0  Clear+Clear   1.2  65.9 5001.6   
 547846 CuAr              0:00:00.00 +00:00:00.0 2000.00  17:26 1.000  IDS   30.0    0  Clear+Clear   1.2  65.9 5001.6   
 547847 CuAr              0:00:00.00 +00:00:00.0 2000.00  17:27 1.000  IDS   30.0    0  Clear+Clear   1.2  65.9 5001.6   
 547848 CuAr              0:00:00.00 +00:00:00.0 2000.00  17:27 1.000  IDS   30.0    0  Clear+Clear   1.2  65.9 5001.6   
 547849 Flat field        0:00:00.00 +00:00:00.0 2000.00  18:53 1.000  IDS    1.0    0  Clear+Clear   2.0  65.9 5001.6   
 547850 Flat field        0:00:00.00 +00:00:00.0 2000.00  18:54 1.000  IDS    0.8    0  Clear+Clear   2.0  65.9 5001.6   
 547851 Flat field        0:00:00.00 +00:00:00.0 2000.00  18:54 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547852 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:56 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547853 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:56 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547854 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:56 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547855 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:56 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547856 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:57 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547857 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:57 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547858 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:57 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547859 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:57 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547860 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:57 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547861 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:58 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547862 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:58 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547863 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:58 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547864 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:58 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547865 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:58 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547866 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:59 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547867 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:59 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547868 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:59 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547869 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:59 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547870 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  18:59 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547871 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:00 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547872 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:00 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547873 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:00 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547874 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:00 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547875 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:00 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547876 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:01 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547877 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:01 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547878 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:01 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547879 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:01 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547880 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:01 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547881 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:02 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547882 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:02 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547883 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:02 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547884 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:02 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547885 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:02 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547886 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:03 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547887 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:03 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547888 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:03 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
