INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 12 07:20

TELESCOPE             INT
DATE                  20060711
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:46
MORNING TWILIGHT (UT) 04:49
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       07:03
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         20:52
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly hazy but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
The autoguider doesn't go long without glitching - it seems better to rely on the telescope tracking



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 513538                   0:00:00.00 +00:00:00.0 2006.524 13:31 1.521  WFC   15.1  180  g                                
 513656 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:30 1.573  WFC   35.0  180  r                                
 513657 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  23:31 1.566  WFC   60.0  180  stromgren u                      
 513658 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  23:33 1.559  WFC   40.1  180  stromgren v                      
 513659 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:34 1.552  WFC   35.1  180  stromgren b                      
 513660 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:36 1.546  WFC   30.1  180  stromgren y                      
 513661 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:37 1.540  WFC   60.1  180  g                                
 513662 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  23:38 1.533  WFC   35.1  180  r                                
 513663 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  23:40 1.526  WFC   45.1  180  stromgren u                      
 513664 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  23:41 1.521  WFC   35.1  180  stromgren v                      
 513665 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  23:43 1.515  WFC   30.1  180  stromgren b                      
 513666 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:44 1.510  WFC   30.1  180  stromgren y                      
 513667 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:45 1.504  WFC   60.1  180  g                                
 513668 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:47 1.497  WFC   35.1  180  r                                
 513669 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:48 1.491  WFC   45.1  180  stromgren u                      
 513670 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  23:49 1.486  WFC   35.0  180  stromgren v                      
 513671 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:51 1.481  WFC   30.1  180  stromgren b                      
 513672 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  23:52 1.476  WFC   30.1  180  stromgren y                      
 513673 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  23:53 1.470  WFC   60.1  180  g                                
 513674 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:55 1.464  WFC   35.1  180  r                                
 513675 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:56 1.458  WFC   45.1  180  stromgren u                      
 513676 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:57 1.453  WFC   35.1  180  stromgren v                      
 513677 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:59 1.448  WFC   30.1  180  stromgren b                      
 513678 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  00:00 1.444  WFC   30.1  180  stromgren y                      
 513679 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  00:01 1.438  WFC   60.1  180  g                                
 513680 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  00:03 1.433  WFC   35.1  180  r                                
 513681 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:04 1.428  WFC   45.0  180  stromgren u                      
 513682 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  00:05 1.423  WFC   34.6  180  stromgren v                      
 513683 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:07 1.418  WFC   29.5  180  stromgren b                      
 513684 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  00:08 1.414  WFC   30.0  180  stromgren y                      
 513685 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  00:09 1.409  WFC   60.1  180  g                                
 513686 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  00:11 1.404  WFC   35.1  180  r                                
 513687 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  00:12 1.399  WFC   44.5  180  stromgren u                      
 513688 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:14 1.394  WFC   35.1  180  stromgren v                      
 513689 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  00:15 1.390  WFC   30.1  180  stromgren b                      
 513690 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  00:16 1.386  WFC   30.1  180  stromgren y                      
 513691 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:17 1.381  WFC   60.1  180  g                                
 513692 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  00:19 1.376  WFC   35.1  180  r                                
 513693 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:20 1.372  WFC   44.5  180  stromgren u                      
 513694 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:22 1.368  WFC   35.0  180  stromgren v                      
 513695 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  00:23 1.364  WFC   30.1  180  stromgren b                      
 513696 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  00:24 1.360  WFC   30.1  180  stromgren y                      
 513697 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:25 1.355  WFC   60.1  180  g                                
 513698 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  00:27 1.351  WFC   35.1  180  r                                
 513699 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  00:28 1.347  WFC   45.1  180  stromgren u                      
