INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 09 06:46

TELESCOPE             INT
DATE                  20060708
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:47
SUNRISE (UT)          06:12
%ILLUM. LUNAR DISK    94
DARK TIME (HRS)       07:00
TWILIGHT TIME (HRS)   02:51
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:23

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for second half of night


TIME LOST weather           0`:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
poor seeing gave way to thin cloud gave way to thick cloud

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.60



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 512437 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:39 1.588  WFC   40.1  180  r                                
 512438 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:40 1.581  WFC   45.1  180  stromgren u                      
 512439 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:42 1.575  WFC   30.1  180  stromgren v                      
 512440 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  23:43 1.569  WFC   30.1  180  stromgren b                      
 512441 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:44 1.563  WFC   30.1  180  stromgren y                      
 512442 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:45 1.556  WFC   60.1  180  g                                
 512443 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:47 1.549  WFC   40.1  180  r                                
 512444 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:48 1.542  WFC   45.0  180  stromgren u                      
 512445 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  23:50 1.536  WFC   29.5  180  stromgren v                      
 512446 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:51 1.530  WFC   30.1  180  stromgren b                      
 512447 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  23:52 1.525  WFC   30.0  180  stromgren y                      
 512448 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:53 1.518  WFC   60.1  180  g                                
 512449 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  23:55 1.512  WFC   40.1  180  r                                
 512450 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  23:56 1.505  WFC   45.1  180  stromgren u                      
