 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517895 uvex_4133o He1   18:40:30.78 +05:20:59.8 2000.00  22:48 1.113  WFC  120.0  180  HeI 5870                         
 517896 uvex_4133o r     18:40:30.78 +05:21:00.0 2000.00  22:51 1.111  WFC   30.1  180  r                                
 517897 uvex_4133o U     18:40:30.78 +05:21:00.1 2000.00  22:52 1.109  WFC  120.0  180  U                                
 517898 uvex_4133o g     18:40:30.79 +05:21:00.0 2000.00  22:55 1.108  WFC   30.1  180  g                                
 517899 uvex_4138 He1    18:40:54.12 +04:21:00.0 2000.00  22:56 1.115  WFC  120.0  180  HeI 5870                         
 517900 uvex_4138 r      18:40:54.12 +04:21:00.0 2000.00  22:59 1.114  WFC   30.1  180  r                                
 517901 uvex_4138 U      18:40:54.12 +04:20:59.9 2000.00  23:00 1.112  WFC  120.0  180  U                                
 517902 uvex_4138 g      18:40:54.12 +04:21:00.0 2000.00  23:03 1.111  WFC   30.1  180  g                                
 517903 uvex_4138o He1   18:41:14.18 +04:25:59.9 2000.00  23:04 1.109  WFC  119.6  180  HeI 5870                         
 517904 uvex_4138o r     18:41:14.18 +04:25:59.9 2000.00  23:06 1.107  WFC   30.1  180  r                                
 517905 uvex_4138o U     18:41:14.17 +04:26:00.0 2000.00  23:08 1.106  WFC  120.0  180  U                                
 517906 uvex_4138o g     18:41:14.18 +04:25:59.9 2000.00  23:10 1.105  WFC   30.1  180  g                                
 517907 uvex_4139 He1    18:40:54.54 +05:49:00.1 2000.00  23:11 1.092  WFC  120.0  180  HeI 5870                         
 517908 uvex_4139 r      18:40:54.55 +05:49:00.0 2000.00  23:14 1.091  WFC   29.5  180  r                                bottom CCD3 contains a cluster of galaxies
 517909 uvex_4139 U      18:40:54.54 +05:48:59.9 2000.00  23:15 1.090  WFC  119.5  180  U                                
 517910 uvex_4139 g      18:40:54.54 +05:49:00.0 2000.00  23:18 1.090  WFC   30.1  180  g                                
 517911 uvex_4139o He1   18:41:14.66 +05:53:59.9 2000.00  23:19 1.088  WFC  120.0  180  HeI 5870                         
 517912 uvex_4139o r     18:41:14.65 +05:54:00.0 2000.00  23:22 1.088  WFC   29.5  180  r                                
 517913 uvex_4139o U     18:41:14.66 +05:54:00.1 2000.00  23:23 1.087  WFC  120.0  180  U                                
 517914 uvex_4139o g     18:41:14.65 +05:54:00.0 2000.00  23:26 1.087  WFC   30.1  180  g                                
 517915 uvex_4145 He1    18:41:38.16 +04:54:00.0 2000.00  23:27 1.094  WFC  120.1  180  HeI 5870                         
 517916 uvex_4145 r      18:41:38.16 +04:53:59.9 2000.00  23:30 1.094  WFC   29.6  180  r                                
 517917 uvex_4145 U      18:41:38.16 +04:53:59.9 2000.00  23:31 1.094  WFC  119.5  180  U                                
 517918 uvex_4145 g      18:41:38.16 +04:53:59.9 2000.00  23:33 1.093  WFC   30.1  180  g                                
 517919 uvex_4145o He1   18:41:58.24 +04:59:00.1 2000.00  23:35 1.093  WFC  120.0  180  HeI 5870                         
 517920 uvex_4145o r     18:41:58.23 +04:59:00.0 2000.00  23:37 1.093  WFC   30.1  180  r                                
