 505656 calib11 I 5      18:42:48.20 +00:06:28.9 2000.00  05:04 1.343  WFC    5.1  180  i                                
 505657 calib11 I 3      18:42:48.19 +00:06:29.0 2000.00  05:05 1.346  WFC    3.1  180  i                                
 505658 calib11 R 3      18:42:48.20 +00:06:28.9 2000.00  05:06 1.349  WFC    3.1  180  i                                whoops, I did not switch the filter...
 505659 calib11 R 5      18:42:48.20 +00:06:28.9 2000.00  05:07 1.351  WFC    5.1  180  r                                not yet focused...
 505660 calib11 R 20     18:42:48.19 +00:06:29.0 2000.00  05:07 1.355  WFC   20.1  180  r                                
 505661 calib11 R 3      18:42:48.20 +00:06:29.1 2000.00  05:12 1.371  WFC    3.1  180  r                                
 505662 calib11 R 5      18:42:48.20 +00:06:29.0 2000.00  05:12 1.374  WFC    5.1  180  r                                
 505663 calib12 R 20     16:59:32.19 +07:43:32.0 2000.00  05:15 2.033  WFC   20.1  180  r                                
 505664 calib12 R 5      16:59:32.20 +07:43:32.0 2000.00  05:16 2.045  WFC    5.1  180  r                                
 505665 calib12 R 3      16:59:32.19 +07:43:31.9 2000.00  05:17 2.056  WFC    3.1  180  r                                
 505666 calib12 I 3      16:59:32.20 +07:43:31.9 2000.00  05:18 2.066  WFC    3.1  180  i                                de-focused again, mea culpa!
 505667 calib12 I 5      16:59:32.19 +07:43:32.3 2000.00  05:19 2.077  WFC    5.1  180  i                                
 505668 calib12 I 20     16:59:32.20 +07:43:32.0 2000.00  05:19 2.090  WFC   20.1  180  i                                
 505669 calib12 I 3      16:59:32.20 +07:43:31.9 2000.00  05:20 2.103  WFC    3.1  180  i                                
 505670 Flat field       21:29:34.00 -08:38:30.1 2000.00  05:37 1.258  WFC   29.2  180  i                                
 505671 Flat field       21:29:35.35 -08:38:09.9 2000.00  05:38 1.258  WFC   21.0  180  i                                
 505672 Flat field       21:29:32.65 -08:38:10.0 2000.00  05:40 1.258  WFC   15.9  180  i                                
 505673 Flat field       21:29:35.35 -08:38:49.9 2000.00  05:41 1.258  WFC   11.5  180  i                                
 505674 Flat field        0:00:00.00 +00:00:00.0 2000.00  05:43 1.258  WFC   12.1  180  r                                
 505675 Flat field       21:29:35.35 -08:38:09.9 2000.00  05:44 1.258  WFC    6.6  180  r                                
 505676 Flat field       21:29:32.65 -08:38:09.7 2000.00  05:45 1.258  WFC    5.7  180  r                                
 505677 Flat field       21:29:35.35 -08:38:50.1 2000.00  05:46 1.258  WFC    4.1  180  r                                
 505678 Flat field       21:29:32.65 -08:38:50.1 2000.00  05:47 1.258  WFC    3.3  180  r                                
 505679 Flat field       21:29:34.66 -08:38:00.1 2000.00  05:48 1.258  WFC    2.9  180  r                                
 505680 Bias             21:29:36.02 -08:38:40.0 2000.00  05:50 1.258  WFC    0.0  180  U                                
 505681 Bias             21:29:36.02 -08:38:39.9 2000.00  05:51 1.258  WFC    0.0  180  U                                
 505682 Bias             21:29:36.02 -08:38:40.0 2000.00  05:51 1.259  WFC    0.0  180  U                                
 505683 Bias             21:29:36.02 -08:38:40.0 2000.00  05:52 1.259  WFC    0.0  180  U                                
 505684 Bias             21:29:36.02 -08:38:39.9 2000.00  05:53 1.259  WFC    0.0  180  U                                
 505685 Bias             21:29:36.01 -08:38:40.0 2000.00  05:53 1.259  WFC    0.0  180  U                                
 505686 Bias             21:29:36.02 -08:38:39.9 2000.00  05:54 1.259  WFC    0.0  180  U                                
 505687 Bias              0:00:00.00 +00:00:00.0 2000.00  05:54 1.219  WFC    0.0  180  U                                
 505688 Bias              0:00:00.00 +00:00:00.0 2000.00  05:55 1.002  WFC    0.0  180  U                                
 505689 Bias              0:00:00.00 +00:00:00.0 2000.00  05:55 1.000  WFC    0.0  180  U                                
