INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 13 07:21

TELESCOPE             INT
DATE                  20060712
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    95
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         21:39
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
40 km/h winds all night but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
slight problems early on due  possibly to power supply (generator rather than mains) affecting tracking and pointing



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514058 NGC7128 u        21:44:06.50 +53:39:00.0 2000.00  23:06 1.678  WFC   50.1  180  stromgren u                      
 514059 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  23:08 1.669  WFC   40.1  180  stromgren v                      
 514060 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  23:09 1.662  WFC   30.1  180  stromgren b                      
 514061 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  23:10 1.655  WFC   30.1  180  stromgren y                      
 514062 NGC7128 g        21:44:06.50 +53:39:00.0 2000.00  23:11 1.647  WFC   59.6  180  g                                
 514063 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  23:13 1.639  WFC   30.1  180  r                                
 514064 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  23:15 1.627  WFC   50.1  180  stromgren u                      
 514065 NGC7128 v        21:44:06.50 +53:39:00.0 2000.00  23:17 1.619  WFC   40.1  180  stromgren v                      
 514066 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  23:18 1.613  WFC   30.1  180  stromgren b                      
 514067 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  23:19 1.606  WFC   30.1  180  stromgren y                      
 514068 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  23:21 1.599  WFC   60.1  180  g                                
 514069 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  23:22 1.592  WFC   30.1  180  r                                
 514070 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  23:23 1.585  WFC   49.5  180  stromgren u                      
 514071 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  23:25 1.577  WFC   40.1  180  stromgren v                      
 514072 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  23:26 1.571  WFC   30.1  180  stromgren b                      
 514073 NGC7128 y        21:44:06.49 +53:38:59.9 2000.00  23:27 1.565  WFC   30.1  180  stromgren y                      
 514074 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  23:29 1.558  WFC   60.1  180  g                                
 514075 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  23:30 1.552  WFC   30.1  180  r                                
 514076 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  23:32 1.545  WFC   50.1  180  stromgren u                      
 514077 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  23:33 1.538  WFC   40.1  180  stromgren v                      
 514078 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  23:34 1.532  WFC   30.1  180  stromgren b                      
 514079 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  23:36 1.527  WFC   29.5  180  stromgren y                      
 514080 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  23:37 1.521  WFC   60.1  180  g                                
 514081 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  23:39 1.514  WFC   30.1  180  r                                
 514082 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  23:40 1.508  WFC   50.1  180  stromgren u                      
 514083 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  23:41 1.502  WFC   40.1  180  stromgren v                      
 514084 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  23:43 1.497  WFC   30.1  180  stromgren b                      
 514085 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  23:44 1.491  WFC   30.1  180  stromgren y                      
 514086 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  23:45 1.485  WFC   60.1  180  g                                
 514087 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  23:47 1.479  WFC   29.6  180  r                                
 514088 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  23:48 1.474  WFC   49.6  180  stromgren u                      
 514089 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  23:49 1.468  WFC   40.1  180  stromgren v                      
 514090 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  23:51 1.463  WFC   30.1  180  stromgren b                      
 514091 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  23:52 1.458  WFC   30.1  180  stromgren y                      
 514092 NGC7128 g        21:44:06.49 +53:38:59.9 2000.00  23:53 1.453  WFC   60.0  180  g                                
 514093 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  23:55 1.447  WFC   30.1  180  r                                
 514094 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  23:56 1.442  WFC   50.1  180  stromgren u                      
 514095 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  23:58 1.436  WFC   39.5  180  stromgren v                      
 514096 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  23:59 1.432  WFC   30.1  180  stromgren b                      
 514097 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  00:00 1.427  WFC   30.1  180  stromgren y                      
 514098 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  00:01 1.422  WFC   60.0  180  g                                
 514099 NGC7128 r        21:44:06.49 +53:39:00.0 2000.00  00:03 1.417  WFC   29.5  180  r                                
 514100 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  00:04 1.412  WFC   49.5  180  stromgren u                      
 514101 NGC7128 v        21:44:06.49 +53:38:59.9 2000.00  00:06 1.407  WFC   40.1  180  stromgren v                      
 514102 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  00:07 1.402  WFC   30.1  180  stromgren b                      
 514103 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  00:08 1.398  WFC   30.0  180  stromgren y                      
 514104 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  00:09 1.393  WFC   60.1  180  g                                
 514105 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  00:11 1.389  WFC   29.6  180  r                                
