 451439 1604+4143        16:04:49.99 +41:43:29.0 2000.00  02:24 1.060  WFC   40.1  180  g                                
 451440 1604+4143        16:04:49.99 +41:43:28.9 2000.00  02:25 1.061  WFC   40.1  180  g                                
 451441 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:26 1.062  WFC   40.1  180  g                                
 451442 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:27 1.064  WFC   40.1  180  g                                
 451443 1604+4143        16:04:49.99 +41:43:28.9 2000.00  02:29 1.065  WFC   39.5  180  g                                
 451444 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:30 1.067  WFC   39.6  180  g                                
 451445 1604+4143        16:04:49.99 +41:43:29.0 2000.00  02:31 1.068  WFC   39.5  180  g                                
 451446 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:33 1.069  WFC   40.1  180  g                                
 451447 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:34 1.071  WFC   40.1  180  g                                
 451448 1604+4143        16:04:49.99 +41:43:29.0 2000.00  02:35 1.072  WFC   40.1  180  g                                
 451449 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:36 1.074  WFC   40.1  180  g                                
 451450 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:38 1.075  WFC   40.0  180  g                                
 451451 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:39 1.077  WFC   40.1  180  g                                
 451452 1604+4143        16:04:49.99 +41:43:28.9 2000.00  02:40 1.079  WFC   40.1  180  g                                
 451453 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:42 1.080  WFC   39.5  180  g                                
 451454 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:43 1.082  WFC   40.1  180  g                                
 451455 1604+4143        16:04:49.99 +41:43:29.0 2000.00  02:44 1.083  WFC   40.1  180  g                                
 451456 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:45 1.085  WFC   40.1  180  g                                
 451457 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:47 1.087  WFC   40.1  180  g                                
 451458 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:48 1.089  WFC   40.1  180  g                                
 451459 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:49 1.090  WFC   39.5  180  g                                
 451460 1604+4143        16:04:49.99 +41:43:28.9 2000.00  02:51 1.092  WFC   40.1  180  g                                
 451461 1604+4143        16:04:49.99 +41:43:28.9 2000.00  02:52 1.094  WFC   40.1  180  g                                
 451462 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:53 1.096  WFC   40.1  180  g                                
 451463 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:54 1.098  WFC   39.6  180  g                                
 451464 1604+4143        16:04:49.99 +41:43:29.0 2000.00  02:56 1.100  WFC   39.5  180  g                                
 451465 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:57 1.102  WFC   40.1  180  g                                
 451466 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:58 1.104  WFC   40.1  180  g                                
 451467 1604+4143        16:04:49.99 +41:43:29.0 2000.00  03:00 1.106  WFC   40.1  180  g                                
 451468 1604+4143        16:04:50.00 +41:43:28.9 2000.00  03:01 1.108  WFC   40.1  180  g                                
 451469 1604+4143        16:04:49.99 +41:43:29.0 2000.00  03:02 1.110  WFC   40.1  180  g                                
 451470 1604+4143        16:04:50.00 +41:43:28.9 2000.00  03:04 1.112  WFC   40.1  180  g                                
 451471 1604+4143        16:04:50.00 +41:43:28.9 2000.00  03:05 1.114  WFC   40.1  180  g                                
 451472 1604+4143        16:04:50.00 +41:43:29.0 2000.00  03:06 1.116  WFC   40.1  180  g                                
 451473 1604+4143        16:04:50.00 +41:43:29.0 2000.00  03:07 1.118  WFC   40.1  180  g                                
 451474 1604+4143        16:04:49.99 +41:43:29.0 2000.00  03:09 1.121  WFC   39.5  180  g                                
 451475 1604+4143        16:04:50.00 +41:43:29.0 2000.00  03:10 1.123  WFC   40.1  180  g                                
 451476 1604+4143        16:04:50.00 +41:43:28.9 2000.00  03:11 1.125  WFC   40.1  180  g                                
 451477 1604+4143        16:04:50.00 +41:43:29.0 2000.00  03:13 1.127  WFC   40.1  180  g                                
 451478 1604+4143        16:04:50.00 +41:43:28.9 2000.00  03:14 1.130  WFC   40.1  180  g                                
