 509774 uvex_6319o He1   21:00:14.31 +38:42:59.6 2000.00  00:15 1.417  WFC  120.0  180  HeI 5870                         
 509775 uvex_6319o r     21:00:14.31 +38:42:59.6 2000.00  00:18 1.408  WFC   30.1  180  r                                
 509776 uvex_6319o U     21:00:14.31 +38:42:59.6 2000.00  00:19 1.399  WFC  120.0  180  U                                
 509777 uvex_6319o g     21:00:14.30 +38:42:59.6 2000.00  00:22 1.390  WFC   30.1  180  g                                
 509778 uvex_6321 He1    20:59:55.58 +42:28:59.7 2000.00  00:23 1.378  WFC  120.0  180  HeI 5870                         
 509779 uvex_6321 r      20:59:55.59 +42:28:59.6 2000.00  00:26 1.370  WFC   29.5  180  r                                
 509780 uvex_6321 U      20:59:55.59 +42:28:59.5 2000.00  00:27 1.362  WFC  120.0  180  U                                
 509781 uvex_6321 g      20:59:55.58 +42:28:59.5 2000.00  00:30 1.354  WFC   30.1  180  g                                
 509782 uvex_6321o He1   21:00:22.75 +42:33:59.5 2000.00  00:31 1.348  WFC  120.0  180  HeI 5870                         
 509783 uvex_6321o r     21:00:22.75 +42:33:59.5 2000.00  00:34 1.341  WFC   30.1  180  r                                
 509784 uvex_6321o U     21:00:22.73 +42:33:59.6 2000.00  00:35 1.334  WFC  120.0  180  U                                
 509785 uvex_6321o g     21:00:22.74 +42:33:59.6 2000.00  00:37 1.326  WFC   30.1  180  g                                
 509786 uvex_5808o He1   20:19:34.78 +39:15:59.4 2000.00  00:39 1.189  WFC  120.0  180  HeI 5870                         
 509787 uvex_5808o r     20:19:34.79 +39:15:59.5 2000.00  00:41 1.184  WFC   30.1  180  r                                
 509788 uvex_5808o U     20:19:34.79 +39:15:59.6 2000.00  00:43 1.179  WFC  120.0  180  U                                
 509789 uvex_5808o g     20:19:34.78 +39:15:59.5 2000.00  00:45 1.174  WFC   30.1  180  g                                
 509790 uvex_5812o He1   20:19:42.87 +37:47:59.6 2000.00  00:46 1.168  WFC  120.0  180  HeI 5870                         
 509791 uvex_5812o r     20:19:42.86 +37:47:59.6 2000.00  00:49 1.163  WFC   30.1  180  r                                
 509792 uvex_5812o U     20:19:42.87 +37:47:59.5 2000.00  00:50 1.158  WFC  120.0  180  U                                
 509793 uvex_5812o g     20:19:42.87 +37:47:59.5 2000.00  00:53 1.154  WFC   30.1  180  g                                
 509794 uvex_5819o He1   20:20:22.95 +43:17:59.8 2000.00  00:54 1.165  WFC  120.0  180  HeI 5870                         
 509795 uvex_5819o r     20:20:22.94 +43:17:59.5 2000.00  00:57 1.161  WFC   29.5  180  r                                
 509796 uvex_5819o U     20:20:22.95 +43:17:59.5 2000.00  00:58 1.157  WFC  119.5  180  U                                
 509797 uvex_5819o g     20:20:22.95 +43:17:59.5 2000.00  01:01 1.153  WFC   30.1  180  g                                
 509798 uvex_5820o He1   20:20:22.21 +39:48:59.1 2000.00  01:02 1.138  WFC  120.0  180  HeI 5870                         
 509799 uvex_5820o r     20:20:22.21 +39:48:59.6 2000.00  01:05 1.134  WFC   30.1  180  r                                
 509800 uvex_5820o U     20:20:22.21 +39:48:59.6 2000.00  01:06 1.131  WFC  120.0  180  U                                
 509801 uvex_5820o g     20:20:22.21 +39:48:59.6 2000.00  01:09 1.127  WFC   29.5  180  g                                
 509802 uvex_5822o He1   20:20:32.18 +38:20:59.7 2000.00  01:10 1.120  WFC  120.0  180  HeI 5870                         
 509803 uvex_5822o r     20:20:32.19 +38:20:59.6 2000.00  01:13 1.116  WFC   30.1  180  r                                
 509804 uvex_5822o U     20:20:32.18 +38:20:59.6 2000.00  01:14 1.113  WFC  120.0  180  U                                
 509805 uvex_5822o g     20:20:32.19 +38:20:59.5 2000.00  01:16 1.109  WFC   30.1  180  g                                
 509806 uvex_5825o He1   20:20:36.01 +36:52:59.8 2000.00  01:18 1.103  WFC  120.0  180  HeI 5870                         
 509807 uvex_5825o r     20:20:36.02 +36:52:59.7 2000.00  01:20 1.100  WFC   30.1  180  r                                
 509808 uvex_5825o U     20:20:36.02 +36:52:59.6 2000.00  01:21 1.097  WFC  119.5  180  U                                
 509809 uvex_5825o g     20:20:36.01 +36:52:59.7 2000.00  01:24 1.093  WFC   30.0  180  g                                
 509810 uvex_5827o He1   20:20:50.56 +41:49:59.8 2000.00  01:25 1.104  WFC  120.1  180  HeI 5870                         
 509811 uvex_5827o r     20:20:50.55 +41:49:59.6 2000.00  01:28 1.101  WFC   30.1  180  r                                
 509812 uvex_5827o U     20:20:50.55 +41:49:59.5 2000.00  01:29 1.098  WFC  120.0  180  U                                
 509813 uvex_5827o g     20:20:50.56 +41:49:59.6 2000.00  01:32 1.095  WFC   29.6  180  g                                
 509814 sa110-246 HeI    18:41:50.88 +00:05:08.9 2000.00  01:35 1.139  WFC   30.1  180  HeI 5870                         
 509815 sa110-246 r      18:41:50.88 +00:05:09.0 2000.00  01:36 1.140  WFC   10.1  180  r                                
 509816 sa110-246 U      18:41:50.87 +00:05:08.9 2000.00  01:38 1.140  WFC   30.1  180  U                                
 509817 sa110-246 g      18:41:50.87 +00:05:09.0 2000.00  01:39 1.140  WFC   10.1  180  g                                
 509818 uvex_5833o He1   20:21:20.93 +38:53:59.4 2000.00  01:42 1.071  WFC  120.0  180  HeI 5870                         
