 562980 intphas_5584o i  20:04:37.50 +24:57:59.9 2000.00  02:05 1.224  WFC    9.6  180  i                                
 562981 intphas_5586 Ha  20:04:22.74 +26:20:59.7 2000.00  02:06 1.213  WFC  120.0  180  Halpha                           
 562982 intphas_5586 r   20:04:22.74 +26:20:59.8 2000.00  02:09 1.207  WFC   30.1  180  r                                
 562983 intphas_5586 i   20:04:22.74 +26:20:59.8 2000.00  02:10 1.204  WFC   10.1  180  i                                
 562984 intphas_5586o Ha 20:04:45.07 +26:25:59.6 2000.00  02:10 1.200  WFC  119.4  180  Halpha                           
 562985 intphas_5586o r  20:04:45.08 +26:25:59.8 2000.00  02:13 1.194  WFC   30.1  180  r                                
 562986 intphas_5586o i  20:04:45.07 +26:25:59.7 2000.00  02:14 1.192  WFC    9.5  180  i                                
 562987 intphas_5594 Ha  20:04:46.69 +22:30:00.0 2000.00  02:15 1.200  WFC  120.0  180  Halpha                           
 562988 intphas_5594 r   20:04:46.69 +22:29:59.8 2000.00  02:18 1.195  WFC   30.0  180  r                                
 562989 intphas_5594 i   20:04:46.68 +22:29:59.9 2000.00  02:19 1.192  WFC   10.1  180  i                                
 562990 intphas_5594o Ha 20:05:08.36 +22:34:59.8 2000.00  02:19 1.188  WFC  119.5  180  Halpha                           
 562991 intphas_5594o r  20:05:08.36 +22:34:59.8 2000.00  02:22 1.183  WFC   30.0  180  r                                
 562992 intphas_5594o i  20:05:08.35 +22:34:59.9 2000.00  02:23 1.180  WFC    9.5  180  i                                
 562993 BD+332642 Ha     15:51:59.75 +32:56:54.2 2000.00  02:26 1.104  WFC   40.1  180  Halpha                           CCD noise
 562994 BD+332642 r      15:51:59.76 +32:56:54.2 2000.00  02:27 1.106  WFC    3.1  180  r                                CCD noise
 562995 BD+332642 i      15:51:59.75 +32:56:54.2 2000.00  02:28 1.107  WFC    3.1  180  i                                CCD noise
 562996 ST_Draco Ha      17:20:23.27 +57:54:01.1 2000.00  02:29 1.150  WFC  120.0  180  Halpha                           
 562997 ST_Draco r       17:20:23.27 +57:54:01.0 2000.00  02:31 1.151  WFC   30.1  180  r                                
 562998 ST_Draco i       17:20:23.28 +57:54:01.0 2000.00  02:32 1.151  WFC   10.1  180  i                                
 562999 SA110-246 Ha     18:41:50.87 +00:05:09.1 2000.00  02:35 1.162  WFC   40.1  180  Halpha                           
 563000 SA110-246 r      18:41:50.87 +00:05:09.0 2000.00  02:36 1.161  WFC    4.1  180  r                                
 563001 SA110-246 i      18:41:50.87 +00:05:09.0 2000.00  02:37 1.160  WFC    4.1  180  i                                
 563002 intphas_5596 Ha  20:04:56.19 +23:57:59.8 2000.00  02:38 1.134  WFC  119.5  180  Halpha                           
 563003 intphas_5596 r   20:04:56.20 +23:57:59.9 2000.00  02:41 1.130  WFC   30.1  180  r                                
 563004 intphas_5596 i   20:04:56.20 +23:57:59.8 2000.00  02:42 1.128  WFC   10.1  180  i                                
 563005 intphas_5596o Ha 20:05:18.09 +24:02:59.7 2000.00  02:43 1.125  WFC  119.0  180  Halpha                           
 563006 intphas_5596o r  20:05:18.10 +24:02:59.9 2000.00  02:45 1.120  WFC   30.1  180  r                                
 563007 intphas_5596o i  20:05:18.10 +24:02:59.9 2000.00  02:46 1.118  WFC   10.1  180  i                                
 563008 intphas_5597 Ha  20:05:04.64 +25:25:59.9 2000.00  02:47 1.111  WFC  120.0  180  Halpha                           
 563009 intphas_5597 r   20:05:04.65 +25:25:59.8 2000.00  02:50 1.107  WFC   30.1  180  r                                
 563010 intphas_5597 i   20:05:04.65 +25:25:59.8 2000.00  02:51 1.105  WFC   10.1  180  i                                
 563011 intphas_5597o Ha 20:05:26.81 +25:30:59.5 2000.00  02:52 1.102  WFC  120.0  180  Halpha                           
 563012 intphas_5597o r  20:05:26.80 +25:30:59.8 2000.00  02:54 1.099  WFC   30.1  180  r                                
 563013 intphas_5597o i  20:05:26.80 +25:30:59.8 2000.00  02:55 1.097  WFC   10.1  180  i                                
 563014 intphas_5606 Ha  20:05:36.28 +23:03:00.0 2000.00  02:56 1.100  WFC  120.0  180  Halpha                           
 563015 intphas_5606 r   20:05:36.28 +23:02:59.8 2000.00  02:59 1.096  WFC   30.1  180  r                                
 563016 intphas_5606 i   20:05:36.27 +23:02:59.9 2000.00  03:00 1.095  WFC    9.5  180  i                                
 563017 intphas_5606o Ha 20:05:58.03 +23:07:59.9 2000.00  03:01 1.092  WFC  120.0  180  Halpha                           
 563018 intphas_5606o r  20:05:58.03 +23:07:59.9 2000.00  03:03 1.089  WFC   30.1  180  r                                
 563019 intphas_5606o i  20:05:58.02 +23:07:59.8 2000.00  03:04 1.087  WFC   10.1  180  i                                
 563020 intphas_5608 Ha  20:05:45.74 +24:31:00.0 2000.00  03:05 1.080  WFC  120.0  180  Halpha                           
 563021 intphas_5608 r   20:05:45.74 +24:30:59.9 2000.00  03:08 1.077  WFC   30.1  180  r                                
 563022 intphas_5608 i   20:05:45.75 +24:30:59.9 2000.00  03:09 1.076  WFC   10.1  180  i                                
 563023 intphas_5608o Ha 20:06:07.75 +24:35:59.6 2000.00  03:10 1.073  WFC  120.0  180  Halpha                           
 563024 intphas_5608o r  20:06:07.75 +24:35:59.8 2000.00  03:12 1.071  WFC   30.1  180  r                                
 563025 intphas_5608o i  20:06:07.75 +24:35:59.8 2000.00  03:13 1.069  WFC   10.1  180  i                                
 563026 intphas_5610 Ha  20:05:54.08 +25:58:59.6 2000.00  03:14 1.063  WFC  120.0  180  Halpha                           
 563027 intphas_5610 r   20:05:54.08 +25:58:59.7 2000.00  03:17 1.061  WFC   30.1  180  r                                
 563028 intphas_5610 i   20:05:54.08 +25:58:59.7 2000.00  03:18 1.059  WFC   10.1  180  i                                
 563029 intphas_5610o Ha 20:06:16.33 +26:03:59.6 2000.00  03:19 1.058  WFC  120.0  180  Halpha                           
 563030 intphas_5610o r  20:06:16.34 +26:03:59.8 2000.00  03:21 1.055  WFC   30.1  180  r                                
 563031 intphas_5610o i  20:06:16.33 +26:03:59.8 2000.00  03:22 1.054  WFC    9.0  180  i                                
 563032 intphas_5619 Ha  20:06:25.75 +23:35:59.9 2000.00  03:23 1.056  WFC  120.0  180  Halpha                           
 563033 intphas_5619 r   20:06:25.75 +23:35:59.9 2000.00  03:26 1.053  WFC   30.1  180  r                                
 563034 intphas_5619 i   20:06:25.76 +23:35:59.9 2000.00  03:27 1.052  WFC   10.1  180  i                                
 563035 intphas_5619o Ha 20:06:47.60 +23:40:59.7 2000.00  03:28 1.050  WFC  120.0  180  Halpha                           
 563036 intphas_5619o r  20:06:47.59 +23:40:59.9 2000.00  03:30 1.048  WFC   30.1  180  r                                
 563037 intphas_5619o i  20:06:47.59 +23:40:59.8 2000.00  03:31 1.047  WFC   10.1  180  i                                
 563038 intphas_5620 Ha  20:06:35.16 +25:03:59.8 2000.00  03:32 1.042  WFC  120.0  180  Halpha                           
