 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 692297 Bias              0:00:00.00 +00:00:00.0  2009.69 15:08 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692298 Bias              0:00:00.00 +00:00:00.0  2009.69 15:08 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692299 Bias              0:00:00.00 +00:00:00.0  2009.69 15:09 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692300 Bias              0:00:00.00 +00:00:00.0  2009.69 15:09 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692301 Bias              0:00:00.00 +00:00:00.0  2009.69 15:09 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692302 Bias              0:00:00.00 +00:00:00.0  2009.69 15:10 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692303 Bias              0:00:00.00 +00:00:00.0  2009.69 15:10 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692304 Bias              0:00:00.00 +00:00:00.0  2009.69 15:11 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692305 Bias              0:00:00.00 +00:00:00.0  2009.69 15:11 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692306 Bias              0:00:00.00 +00:00:00.0  2009.69 15:12 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692307 Bias              0:00:00.00 +00:00:00.0  2009.69 15:12 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692308 Bias              0:00:00.00 +00:00:00.0  2009.69 15:13 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692309 Bias              0:00:00.00 +00:00:00.0  2009.69 15:13 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692310 Bias              0:00:00.00 +00:00:00.0  2009.69 15:13 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692311 Bias              0:00:00.00 +00:00:00.0  2009.69 15:14 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
