 493617 36P r            10:42:03.00 +03:16:56.0 2000.00  04:26 1.660  WFC   75.1  180  r                                
 493618 36P r            10:42:03.00 +03:16:55.9 2000.00  04:27 1.675  WFC   75.0  180  r                                
 493619 36P r            10:42:03.00 +03:16:56.0 2000.00  04:30 1.698  WFC   75.1  180  r                                
 493620 36P r            10:42:03.00 +03:16:56.0 2000.00  04:32 1.713  WFC   75.0  180  r                                
 493621 36P r            10:42:03.00 +03:16:55.9 2000.00  04:34 1.730  WFC   74.5  180  r                                
 493622 36P r            10:42:03.00 +03:16:55.9 2000.00  04:36 1.747  WFC   75.0  180  r                                
 493623 36P r            10:42:03.00 +03:16:56.0 2000.00  04:38 1.764  WFC   75.0  180  r                                
 493624 121P r           15:20:36.33 +01:00:35.0 2000.00  04:43 1.175  WFC  215.0  180  r                                
 493625 121P r           15:20:36.33 +01:00:35.0 2000.00  04:47 1.169  WFC  214.9  180  r                                
 493626 121P r           15:20:36.33 +01:00:35.0 2000.00  04:51 1.164  WFC  215.0  180  r                                
 493627 121P V           15:20:36.33 +01:00:34.9 2000.00  04:56 1.157  WFC  215.0  180  V                                
 493628 121P R           15:20:36.33 +01:00:34.9 2000.00  05:01 1.152  WFC  214.5  180  r                                
 493629 121P i           15:20:36.33 +01:00:34.9 2000.00  05:06 1.148  WFC  214.9  180  i                                
 493630 121P R           15:20:36.33 +01:00:34.9 2000.00  05:11 1.144  WFC  214.4  180  r                                
 493631 SA104-334 r      12:42:20.50 -00:42:28.9 2000.00  05:18 1.356  WFC   14.5  180  r                                
 493632 SA104-334 V      12:42:20.49 -00:42:29.0 2000.00  05:21 1.365  WFC   15.1  180  V                                
 493633 SA104-334 i      12:42:20.49 -00:42:29.0 2000.00  05:23 1.376  WFC   15.1  180  i                                
 493634 PG1525-071 r     15:28:11.59 -07:16:33.9 2000.00  05:26 1.248  WFC   15.1  180  r                                
 493635 PG1525-071 V     15:28:11.59 -07:16:33.9 2000.00  05:28 1.247  WFC   15.1  180  V                                
 493636 PG1525-071 i     15:28:11.60 -07:16:33.9 2000.00  05:30 1.245  WFC   15.1  180  i                                
 493637 121P r           15:20:29.00 +01:03:04.6 2000.00  05:33 1.131  WFC  214.5  180  r                                
 493638 121P r           15:20:29.00 +01:03:04.9 2000.00  05:37 1.130  WFC  215.0  180  r                                
 493639 121P r           15:20:29.00 +01:03:05.0 2000.00  05:41 1.130  WFC  214.4  180  r                                
 493640 pluto field Ha   17:45:45.00 -15:50:52.1 2000.00  05:49 1.816  WFC   30.1  180  Halpha                           
 493641 pluto field Ha   17:45:45.00 -15:50:52.0 2000.00  05:53 1.772  WFC  300.0  180  Halpha                           
 493642 121P r           15:20:33.00 +01:03:05.0 2000.00  06:06 1.134  WFC  215.0  180  r                                
 493643 121P r           15:20:33.00 +01:03:04.9 2000.00  06:10 1.136  WFC  215.0  180  r                                
 493644 121P r           15:20:33.00 +01:03:04.9 2000.00  06:15 1.138  WFC  214.9  180  r                                
 493645 rsoph Ha         17:50:13.19 -06:42:28.5 2000.00  06:21 1.421  WFC    4.6  180  Halpha                           
 493646 rsoph Ha         17:50:13.19 -06:42:28.4 2000.00  06:22 1.417  WFC   10.1  180  Halpha                           
 493647 rsoph Ha         17:50:13.20 -06:42:28.5 2000.00  06:23 1.412  WFC   30.1  180  Halpha                           
 493648 rsoph Ha         17:50:21.92 -06:42:28.4 2000.00  06:25 1.405  WFC   59.5  180  Halpha                           
 493649 rsoph Ha         17:50:21.92 -06:42:28.4 2000.00  06:27 1.398  WFC   60.0  180  Halpha                           
 493650 rsoph Ha         17:50:21.92 -06:42:28.5 2000.00  06:29 1.391  WFC   60.1  180  Halpha                           
 493651 rsoph Ha         17:50:21.92 -06:42:28.4 2000.00  06:30 1.386  WFC   60.0  180  Halpha                           
 493652 rsoph Ha         17:50:21.91 -06:42:28.5 2000.00  06:32 1.380  WFC   59.5  180  Halpha                           
 493653 rsoph Ha         17:50:21.92 -06:42:28.4 2000.00  06:34 1.375  WFC   60.1  180  Halpha                           
