INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 06 29 06:56

TELESCOPE             INT
DATE                  20050628
OBSERVER/S            Deeg/Almenara
PROGRAMME             COROT sample field observations
PROPOSAL REF          INT/05A/C11
TELESCOPE OPERATOR    --
SUPPORT ASTRONOMER    Sergio

TEL STATION / FOCUS   Prime  / 43.75
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:42
SUNRISE (UT)          06:08
%ILLUM. LUNAR DISK    47
DARK TIME (HRS)       06:54
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         01:10
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  14.4   11    11.1  12.2  271   773.3   14.4  16.1    16.7   11     6 
22:00  12.7    7    20.0  22.9  313   773.1   12.7  15.1    16.1    7     4 
23:00  11.4    4    23.1  24.8  315   773.4   11.4  13.4    16.2    4     2 
00:00  10.8    6    32.9  34.6  327   773.4   10.8  12.5    16.0    6     2 
01:00  10.7   15    21.0  24.5   11   773.6   10.7  12.5    15.8   15     7 
02:00  10.6   27    16.5  17.5  347   773.4   10.6  12.1    15.5   27    21 
03:00  11.6   22    21.4  22.2  339   773.1   11.6  12.7    15.4   22    14 
04:00  12.2   24    18.9  19.7  348   772.7   12.2  12.9    14.6   24    16 
05:00  12.2   24    17.6  18.6  331   772.5   12.2  12.5    14.4   24    20 
06:00  12.6   21    11.5  11.7  346   772.6   12.6  12.7    14.1   21    19 

TIME LOST weather           00:00
TIME LOST Technical         00:45
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear.

COMMENTS (causes of time lost, setup information eg CCD windows):
filter wheel error, see fault 16836. 



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 457241 Bias              5:59:59.99 +19:59:59.9 2005.489 13:13 1.019  WFC    0.0  180  i                                
 457348 181555_31c       19:27:41.99 -00:21:06.0 2000.00  23:47 1.409  WFC   40.1  180  B                                focus 43.75
 457349 181555_31c       19:27:41.99 -00:21:05.9 2000.00  23:48 1.405  WFC   15.6  180  V                                
 457350 181555_31c       19:27:41.99 -00:21:06.0 2000.00  23:49 1.401  WFC   10.1  180  r                                
 457351 181555_31c       19:27:42.00 -00:21:05.9 2000.00  23:50 1.397  WFC   10.1  180  i                                
 457352 181555_39c       19:27:42.00 +00:08:53.9 2000.00  23:56 1.365  WFC   40.1  180  B                                
 457353 181555_39c       19:27:42.00 +00:08:53.9 2000.00  23:57 1.360  WFC   15.5  180  V                                
 457354 181555_39c       19:27:41.99 +00:08:54.0 2000.00  23:58 1.357  WFC   10.1  180  r                                
 457355 181555_39c       19:27:42.00 +00:08:54.0 2000.00  23:59 1.354  WFC    9.5  180  i                                
 457356 181555_41c       19:31:41.99 +00:08:54.2 2000.00  00:00 1.363  WFC   39.5  180  B                                
 457357 181555_41c       19:31:41.99 +00:08:54.0 2000.00  00:02 1.359  WFC   15.5  180  V                                
 457358 181555_41c       19:31:42.00 +00:08:53.9 2000.00  00:03 1.355  WFC   10.1  180  r                                
 457359 181555_41c       19:31:41.99 +00:08:54.0 2000.00  00:03 1.352  WFC   10.1  180  i                                
 457360 181555_44c       19:23:41.98 +00:38:54.1 2000.00  00:05 1.312  WFC   40.1  180  B                                
 457361 181555_44c       19:23:42.00 +00:38:53.9 2000.00  00:06 1.308  WFC   16.1  180  V                                
 457362 181555_44c       19:23:42.00 +00:38:53.9 2000.00  00:07 1.305  WFC   10.1  180  r                                
 457363 181555_44c       19:23:42.00 +00:38:53.9 2000.00  00:08 1.302  WFC   10.1  180  i                                
 457364 181555_46c       19:27:42.00 +00:38:54.0 2000.00  00:09 1.311  WFC   40.1  180  B                                
 457365 181555_46c       19:27:42.00 +00:38:54.0 2000.00  00:10 1.308  WFC   16.1  180  V                                
 457366 181555_46c       19:27:41.99 +00:38:54.0 2000.00  00:11 1.305  WFC    9.5  180  r                                
 457367 181555_46c       19:27:42.00 +00:38:54.0 2000.00  00:12 1.302  WFC   10.1  180  i                                
 457369 110-365          18:42:57.39 +00:07:22.9 2000.00  00:13 1.198  WFC   20.1  180  B                                
 457370 110-365          18:42:57.39 +00:07:22.9 2000.00  00:14 1.196  WFC    7.1  180  V                                
 457371 110-365          18:42:57.40 +00:07:22.9 2000.00  00:15 1.195  WFC    4.5  180  r                                
 457372 110-365          18:42:57.39 +00:07:23.0 2000.00  00:16 1.193  WFC    5.1  180  i                                
 457373 181555_50c       19:23:41.99 +01:08:53.7 2000.00  00:17 1.267  WFC   40.1  180  B                                
 457374 181555_50c       19:23:41.99 +01:08:54.0 2000.00  00:18 1.264  WFC   16.1  180  V                                
 457375 181555_50c       19:23:41.99 +01:08:54.0 2000.00  00:19 1.261  WFC    9.5  180  r                                
 457376 181555_50c       19:23:42.00 +01:08:54.0 2000.00  00:20 1.259  WFC   10.1  180  i                                
 457377 181555_52c       19:27:41.99 +01:08:54.0 2000.00  00:21 1.266  WFC   40.1  180  B                                
 457378 181555_52c       19:27:41.99 +01:08:54.0 2000.00  00:23 1.263  WFC   16.1  180  V                                
 457379 181555_52c       19:27:42.00 +01:08:53.9 2000.00  00:24 1.260  WFC   10.1  180  r                                
 457380 181555_52c       19:27:42.00 +01:08:54.0 2000.00  00:24 1.258  WFC   10.1  180  i                                
 457381 181555_56c       19:23:42.00 +01:38:54.0 2000.00  00:25 1.239  WFC   40.1  180  B                                
 457382 181555_56c       19:23:42.00 +01:38:54.0 2000.00  00:27 1.236  WFC   15.5  180  V                                
 457383 181555_56c       19:23:41.99 +01:38:54.0 2000.00  00:28 1.233  WFC   10.1  180  r                                
 457384 181555_56c       19:23:42.00 +01:38:54.0 2000.00  00:28 1.231  WFC   10.1  180  i                                
 457385 181555_58c       19:27:41.99 +01:38:54.2 2000.00  00:29 1.238  WFC   40.1  180  B                                
 457386 181555_58c       19:27:41.99 +01:38:54.0 2000.00  00:31 1.235  WFC   16.1  180  V                                
 457387 181555_58c       19:27:42.00 +01:38:54.0 2000.00  00:32 1.233  WFC   10.1  180  r                                
 457388 181555_58c       19:27:41.99 +01:38:54.0 2000.00  00:33 1.231  WFC    9.5  180  i                                
 457389 181555_64c       19:23:41.99 +02:08:54.2 2000.00  00:34 1.212  WFC   39.5  180  B                                
 457390 181555_64c       19:23:42.00 +02:08:54.0 2000.00  00:35 1.210  WFC   16.1  180  V                                
 457391 181555_64c       19:23:42.00 +02:08:53.9 2000.00  00:36 1.208  WFC    9.6  180  r                                
 457392 181555_64c       19:23:42.00 +02:08:53.9 2000.00  00:37 1.206  WFC   10.1  180  i                                
 457393 181555_66c       19:27:42.00 +02:08:54.0 2000.00  00:38 1.212  WFC   40.1  180  B                                
 457394 181555_66c       19:27:42.00 +02:08:54.0 2000.00  00:39 1.210  WFC   16.1  180  V                                
 457395 181555_66c       19:27:41.99 +02:08:53.9 2000.00  00:40 1.208  WFC   10.1  180  r                                
 457396 181555_66c       19:27:42.00 +02:08:54.0 2000.00  00:41 1.206  WFC   10.1  180  i                                
 457397 Focus run        18:42:57.39 +00:07:22.9 2000.00  00:44 1.158  WFC   10.1  180  r                                
 457398 171834_21A       18:40:13.99 +07:26:59.9 2000.00  00:49 1.082  WFC  399.9  180  B                                
 457399 171834_21A       18:40:14.00 +07:26:59.9 2000.00  00:56 1.079  WFC  160.0  180  V                                
 457400 171834_21A       18:40:13.99 +07:26:59.9 2000.00  01:00 1.078  WFC  100.0  180  r                                
 457401 171834_21A       18:40:13.99 +07:27:00.0 2000.00  01:02 1.077  WFC  100.0  180  i                                
 457402 175726_19A       19:00:41.99 +03:58:00.0 2000.00  01:12 1.109  WFC  399.9  180  B                                
 457403 175726_19A       19:00:41.99 +03:58:00.0 2000.00  01:19 1.106  WFC  159.5  180  V                                
 457404 175726_19A       19:00:42.00 +03:57:59.9 2000.00  01:23 1.105  WFC  100.0  180  r                                
 457405 175726_19A       19:00:41.99 +03:58:00.0 2000.00  01:25 1.104  WFC  100.0  180  i                                
 457406 110-365          18:42:57.40 +00:07:22.6 2000.00  01:28 1.139  WFC   20.1  180  B                                
