 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 536220 uvex_0677o U      2:04:30.75 +64:22:59.7 2000.00  23:35 1.235  WFC  120.0  180  U                                
 536221 uvex_0677o g      2:04:30.74 +64:22:59.6 2000.00  23:38 1.236  WFC   30.1  180  g                                
 536222 uvex_0678 He1     2:03:54.12 +62:49:59.6 2000.00  23:40 1.215  WFC  120.0  180  HeI 5870                         
 536223 uvex_0678 r       2:03:54.12 +62:49:59.6 2000.00  23:42 1.215  WFC   30.1  180  r                                
 536224 uvex_0678 U       2:03:54.12 +62:49:59.6 2000.00  23:44 1.216  WFC  120.0  180  U                                
 536225 uvex_0678 g       2:03:54.11 +62:49:59.6 2000.00  23:46 1.217  WFC   30.1  180  g                                
 536226 uvex_0678o He1    2:04:38.05 +62:54:59.5 2000.00  23:47 1.219  WFC  120.0  180  HeI 5870                         
 536227 uvex_0678o r      2:04:38.05 +62:54:59.5 2000.00  23:51 1.221  WFC   30.1  180  r                                
 536228 uvex_0678o U      2:04:38.05 +62:54:59.6 2000.00  23:53 1.222  WFC  120.0  180  U                                
 536229 uvex_0678o g      2:04:38.05 +62:54:59.5 2000.00  23:55 1.223  WFC   30.1  180  g                                
 536230 ST_PG0231         2:33:37.80 +05:18:29.0 2000.00  00:00 1.096  WFC   10.1  180  r                                
 536231 ST_PG0231         2:33:37.80 +05:18:29.0 2000.00  00:01 1.097  WFC  100.0  180  HeI 5870                         
 536232 ST_PG0231         2:33:37.80 +05:18:29.0 2000.00  00:04 1.099  WFC   10.1  180  g                                
 536233 ST_PG0231         2:33:37.80 +05:18:28.9 2000.00  00:05 1.100  WFC  100.0  180  U                                
 536234 uvex_2398o He1    0:00:00.00 +00:00:00.0 2000.00  00:09 1.150  WFC  120.0  180  HeI 5870                         
 536235 uvex_2398o r      5:24:30.21 +27:31:59.8 2000.00  00:12 1.145  WFC   29.5  180  r                                
 536236 uvex_2398o U      5:24:30.20 +27:31:59.8 2000.00  00:13 1.140  WFC  120.0  180  U                                
 536237 uvex_2398o g      5:24:30.21 +27:31:59.7 2000.00  00:16 1.134  WFC   30.1  180  g                                
 536238 uvex_2402 He1     5:24:22.73 +30:55:59.8 2000.00  00:18 1.125  WFC  120.0  180  HeI 5870                         
 536239 uvex_2402 r       5:24:22.74 +30:55:59.7 2000.00  00:20 1.121  WFC   30.1  180  r                                
 536240 uvex_2402 U       5:24:22.73 +30:55:59.7 2000.00  00:22 1.117  WFC  120.0  180  U                                
 536241 uvex_2402 g       5:24:22.73 +30:55:59.6 2000.00  00:24 1.113  WFC   30.1  180  g                                
 536242 uvex_2402o He1    5:24:46.07 +31:00:59.7 2000.00  00:26 1.109  WFC  120.0  180  HeI 5870                         
 536243 uvex_2402o r      5:24:46.08 +31:00:59.6 2000.00  00:28 1.105  WFC   30.1  180  r                                
 536244 uvex_2402o U      5:24:46.07 +31:00:59.6 2000.00  00:30 1.101  WFC  120.0  180  U                                
 536245 uvex_2402o g      5:24:46.07 +31:00:59.8 2000.00  00:32 1.097  WFC   30.1  180  g                                
 536246 uvex_2404 He1     5:24:34.86 +29:27:59.7 2000.00  00:34 1.094  WFC  119.5  180  HeI 5870                         
 536247 uvex_2404 r       5:24:34.87 +29:27:59.7 2000.00  00:36 1.091  WFC   30.1  180  r                                
 536248 uvex_2404 U       5:24:34.87 +29:27:59.7 2000.00  00:38 1.087  WFC  120.0  180  U                                
 536249 uvex_2404 g       5:24:34.87 +29:27:59.7 2000.00  00:41 1.083  WFC   30.1  180  g                                
 536250 uvex_2404o He1    5:24:57.86 +29:32:59.9 2000.00  00:42 1.080  WFC  120.0  180  HeI 5870                         
 536251 uvex_2404o r      5:24:57.86 +29:32:59.8 2000.00  00:45 1.077  WFC   29.5  180  r                                
