 480303 intphas_0179 Ha   0:33:55.44 +66:30:00.0 2000.00  23:57 1.297  WFC  120.0  180  Halpha                           
 480304 intphas_0179 r    0:33:55.45 +66:29:59.8 2000.00  00:00 1.299  WFC   30.1  180  r                                
 480305 intphas_0179 i    0:33:55.44 +66:29:59.7 2000.00  00:01 1.300  WFC   10.1  180  i                                
 480306 intphas_0179o Ha  0:34:45.77 +66:34:59.8 2000.00  00:02 1.302  WFC  120.0  180  Halpha                           
 480307 intphas_0179o r   0:34:45.77 +66:34:59.7 2000.00  00:05 1.304  WFC   30.1  180  r                                
 480308 intphas_0179o i   0:34:45.78 +66:34:59.8 2000.00  00:06 1.305  WFC   10.1  180  i                                
 480309 intphas_0189 Ha   0:35:38.10 +58:14:59.0 2000.00  00:07 1.193  WFC  120.0  180  Halpha                           
 480310 intphas_0189 r    0:35:38.10 +58:14:59.3 2000.00  00:10 1.195  WFC   30.1  180  r                                
 480311 intphas_0189 i    0:35:38.11 +58:14:59.3 2000.00  00:11 1.196  WFC    9.5  180  i                                
 480312 intphas_0189o Ha  0:36:16.20 +58:19:59.4 2000.00  00:12 1.198  WFC  120.0  180  Halpha                           
 480313 intphas_0189o r   0:36:16.20 +58:19:59.3 2000.00  00:14 1.200  WFC   30.1  180  r                                
 480314 intphas_0189o i   0:36:16.21 +58:19:59.4 2000.00  00:16 1.202  WFC   10.1  180  i                                
 480315 intphas_1976 Ha   4:51:42.59 +47:14:59.0 2000.00  00:19 1.231  WFC  120.0  180  Halpha                           
 480316 intphas_1976 r    4:51:42.59 +47:14:59.5 2000.00  00:22 1.226  WFC   30.1  180  r                                
 480317 intphas_1976 i    4:51:42.59 +47:14:59.5 2000.00  00:23 1.223  WFC   10.1  180  i                                
 480318 intphas_1976o Ha  4:52:12.11 +47:19:59.4 2000.00  00:24 1.220  WFC  120.0  180  Halpha                           
 480319 intphas_1976o r   4:52:12.10 +47:19:59.5 2000.00  00:26 1.216  WFC   29.5  180  r                                
 480320 intphas_1976o i   4:52:12.11 +47:19:59.5 2000.00  00:27 1.213  WFC    9.6  180  i                                
 480321 intphas_1977 Ha   4:51:57.83 +39:54:59.2 2000.00  00:28 1.184  WFC  120.0  180  Halpha                           
 480322 intphas_1977 r    4:51:57.83 +39:54:59.7 2000.00  00:31 1.179  WFC   30.1  180  r                                
 480323 intphas_1977 i    4:51:57.83 +39:54:59.6 2000.00  00:32 1.176  WFC   10.1  180  i                                
 480324 intphas_1977o Ha  4:52:23.94 +39:59:59.4 2000.00  00:33 1.173  WFC  120.0  180  Halpha                           
 480325 intphas_1977o r   4:52:23.93 +39:59:59.6 2000.00  00:36 1.169  WFC   30.1  180  r                                
 480326 intphas_1977o i   4:52:23.93 +39:59:59.6 2000.00  00:37 1.166  WFC   10.1  180  i                                
 480327 intphas_1979 Ha   4:52:01.57 +52:00:59.7 2000.00  00:38 1.215  WFC  120.0  180  Halpha                           
 480328 intphas_1979 r    4:52:01.57 +52:00:59.4 2000.00  00:41 1.211  WFC   30.1  180  r                                
 480329 intphas_1979 i    4:52:01.57 +52:00:59.4 2000.00  00:42 1.209  WFC   10.1  180  i                                
 480330 intphas_1979o Ha  4:52:34.14 +52:05:59.4 2000.00  00:43 1.208  WFC  120.0  180  Halpha                           
 480331 intphas_1979o r   4:52:34.13 +52:05:59.4 2000.00  00:46 1.204  WFC   30.1  180  r                                
 480332 intphas_1979o i   4:52:34.13 +52:05:59.4 2000.00  00:47 1.202  WFC   10.1  180  i                                
 480333 intphas_1980 Ha   4:52:10.31 +48:42:59.1 2000.00  00:48 1.176  WFC  120.0  180  Halpha                           
 480334 intphas_1980 r    4:52:10.32 +48:42:59.5 2000.00  00:50 1.173  WFC   29.6  180  r                                
 480335 intphas_1980 i    4:52:10.32 +48:42:59.4 2000.00  00:52 1.171  WFC    9.5  180  i                                
 480336 intphas_1980o Ha  4:52:40.68 +48:47:59.5 2000.00  00:52 1.169  WFC  120.0  180  Halpha                           
 480337 intphas_1980o r   4:52:40.67 +48:47:59.5 2000.00  00:55 1.165  WFC   30.1  180  r                                
 480338 intphas_1980o i   4:52:40.67 +48:47:59.5 2000.00  00:56 1.164  WFC    9.5  180  i                                
 480339 intphas_1982 Ha   4:52:22.71 +44:51:59.1 2000.00  00:57 1.140  WFC  120.0  180  Halpha                           
 480340 intphas_1982 r    4:52:22.71 +44:51:59.5 2000.00  01:00 1.136  WFC   30.0  180  r                                
 480341 intphas_1982 i    4:52:22.72 +44:51:59.5 2000.00  01:01 1.135  WFC   10.1  180  i                                
 480342 intphas_1982o Ha  4:52:50.98 +44:56:59.5 2000.00  01:02 1.133  WFC  120.0  180  Halpha                           
 480343 intphas_1982o r   4:52:50.97 +44:56:59.5 2000.00  01:05 1.129  WFC   30.1  180  r                                
 480344 intphas_1982o i   4:52:50.98 +44:56:59.4 2000.00  01:06 1.128  WFC   10.1  180  i                                
 480345 intphas_1983 Ha   4:52:24.29 +43:23:59.6 2000.00  01:07 1.118  WFC  120.1  180  Halpha                           
