 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 682890 TRES3B           17:52:23.84 +37:31:53.9  2000.00 01:07 1.132  WFC   60.1  180  I                                
 682891 TRES3B           17:52:23.84 +37:31:53.9  2000.00 01:09 1.135  WFC   60.1  180  I                                
 682892 TRES3B           17:52:23.83 +37:31:53.9  2000.00 01:10 1.138  WFC   60.1  180  I                                
 682893 TRES3B           17:52:23.84 +37:31:53.9  2000.00 01:12 1.142  WFC   60.0  180  I                                
 682894 TRES3B           17:52:23.83 +37:31:53.9  2000.00 01:13 1.145  WFC   60.0  180  I                                
 682895 TRES3B           17:52:24.00 +37:31:51.9  2000.00 01:15 1.149  WFC   59.6  180  I                                
 682896 TRES3B           17:52:24.00 +37:31:52.0  2000.00 01:17 1.153  WFC   60.1  180  I                                
 682897 TRES3B           17:52:24.00 +37:31:51.9  2000.00 01:18 1.156  WFC   60.1  180  I                                
 682898 TRES3B           17:52:24.01 +37:31:51.9  2000.00 01:20 1.160  WFC   60.1  180  I                                
 682899 TRES3B           17:52:24.00 +37:31:51.9  2000.00 01:21 1.163  WFC   60.1  180  I                                
 682900 TRES3B           17:52:24.01 +37:31:51.9  2000.00 01:23 1.167  WFC   59.0  180  I                                
 682901 TRES3B           17:52:24.00 +37:31:51.9  2000.00 01:24 1.170  WFC   60.0  180  I                                
 682902 TRES3B           17:52:24.00 +37:31:52.0  2000.00 01:26 1.174  WFC   60.1  180  I                                
 682903 TRES3B           17:52:24.00 +37:31:51.9  2000.00 01:27 1.178  WFC   60.0  180  I                                
 682904 TRES3B           17:52:24.01 +37:31:52.0  2000.00 01:29 1.182  WFC   59.5  180  I                                
 682905 TRES3B           17:52:24.00 +37:31:52.0  2000.00 01:30 1.186  WFC   60.0  180  I                                
 682906 TRES3B           17:52:24.00 +37:31:52.0  2000.00 01:32 1.190  WFC   60.0  180  I                                
 682907 TRES3B           17:52:24.01 +37:31:52.0  2000.00 01:33 1.194  WFC   60.0  180  I                                
 682908 TRES3B           17:52:24.00 +37:31:51.9  2000.00 01:35 1.198  WFC   60.0  180  I                                
 682909 TRES3B           17:52:24.17 +37:31:51.1  2000.00 01:37 1.203  WFC   60.1  180  I                                
 682910 TRES3B           17:52:24.17 +37:31:51.0  2000.00 01:38 1.207  WFC   60.0  180  I                                
 682911 TRES3B           17:52:24.17 +37:31:50.9  2000.00 01:40 1.212  WFC   60.1  180  I                                
 682912 TRES3B           17:52:24.17 +37:31:51.0  2000.00 01:41 1.216  WFC   60.1  180  I                                
 682913 TRES3B           17:52:24.17 +37:31:50.9  2000.00 01:43 1.220  WFC   60.0  180  I                                
 682914 TRES3B           17:52:24.17 +37:31:50.9  2000.00 01:44 1.225  WFC   60.1  180  I                                
 682915 TRES3B           17:52:24.17 +37:31:51.0  2000.00 01:46 1.229  WFC   60.1  180  I                                
 682916 TRES3B           17:52:24.51 +37:31:51.0  2000.00 01:48 1.235  WFC   59.5  180  I                                
 682917 TRES3B           17:52:24.51 +37:31:50.9  2000.00 01:49 1.240  WFC   60.1  180  I                                
 682918 TRES3B           17:52:24.51 +37:31:51.0  2000.00 01:51 1.245  WFC   60.1  180  I                                
 682919 TRES3B           17:52:24.51 +37:31:51.0  2000.00 01:52 1.250  WFC   59.5  180  I                                
 682920 TRES3B           17:52:24.51 +37:31:50.9  2000.00 01:54 1.255  WFC   60.1  180  I                                
 682921 TRES3B           17:52:24.76 +37:31:51.0  2000.00 01:56 1.261  WFC   60.1  180  I                                
 682922 TRES3B           17:52:24.76 +37:31:51.0  2000.00 01:57 1.266  WFC   60.0  180  I                                
 682923 TRES3B           17:52:24.76 +37:31:50.9  2000.00 01:59 1.271  WFC   60.0  180  I                                
 682924 TRES3B           17:52:24.76 +37:31:51.0  2000.00 02:00 1.277  WFC   60.1  180  I                                
 682925 TRES3B           17:52:24.76 +37:31:51.0  2000.00 02:02 1.282  WFC   59.6  180  I                                
 682926 TRES3B           17:52:24.76 +37:31:51.0  2000.00 02:04 1.288  WFC   60.1  180  I                                
 682927 TRES3B           17:52:24.76 +37:31:51.0  2000.00 02:05 1.294  WFC   60.1  180  I                                
 682928 TRES3B           17:52:24.76 +37:31:51.0  2000.00 02:07 1.299  WFC   60.1  180  I                                
 682929 TRES3B           17:52:24.76 +37:31:50.9  2000.00 02:08 1.305  WFC   60.0  180  I                                
 682930 TRES3B           17:52:24.76 +37:31:51.0  2000.00 02:10 1.311  WFC   60.1  180  I                                
 682931 TRES3B           17:52:24.84 +37:31:50.9  2000.00 02:11 1.318  WFC   60.1  180  I                                
 682932 TRES3B           17:52:24.85 +37:31:51.0  2000.00 02:13 1.324  WFC   60.1  180  I                                
 682933 TRES3B           17:52:24.85 +37:31:50.9  2000.00 02:14 1.330  WFC   60.1  180  I                                
 682934 TRES3B           17:52:24.84 +37:31:50.9  2000.00 02:16 1.336  WFC   60.1  180  I                                
 682935 TRES3B           17:52:24.85 +37:31:51.0  2000.00 02:17 1.342  WFC   60.0  180  I                                
 682936 TRES3B           17:52:25.10 +37:31:51.0  2000.00 02:19 1.349  WFC   60.1  180  I                                
 682937 TRES3B           17:52:25.09 +37:31:50.9  2000.00 02:21 1.356  WFC   60.1  180  I                                
 682938 TRES3B           17:52:25.10 +37:31:51.0  2000.00 02:22 1.363  WFC   59.6  180  I                                
 682939 TRES3B           17:52:25.10 +37:31:50.9  2000.00 02:24 1.370  WFC   60.1  180  I                                
 682940 TRES3B           17:52:25.10 +37:31:50.9  2000.00 02:25 1.376  WFC   60.1  180  I                                
 682941 TRES3B           17:52:25.35 +37:31:50.9  2000.00 02:27 1.384  WFC   60.0  180  I                                
 682942 TRES3B           17:52:25.35 +37:31:50.9  2000.00 02:29 1.392  WFC   60.1  180  I                                
 682943 TRES3B           17:52:25.35 +37:31:50.9  2000.00 02:30 1.398  WFC   60.1  180  I                                
 682944 TRES3B           17:52:25.35 +37:31:51.0  2000.00 02:32 1.406  WFC   60.0  180  I                                
 682945 TRES3B           17:52:25.35 +37:31:51.0  2000.00 02:33 1.413  WFC   59.5  180  I                                
 682946 TRES3B           17:52:25.52 +37:31:51.0  2000.00 02:35 1.422  WFC   60.1  180  I                                
