 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 518296 uvex_6275o U     20:56:10.15 +51:10:59.4 2000.00  01:45 1.082  WFC  120.0  180  U                                
 518297 uvex_6275o g     20:56:10.15 +51:10:59.4 2000.00  01:48 1.082  WFC   30.1  180  g                                
 518298 uvex_6277 He1    20:56:04.54 +47:36:59.1 2000.00  01:49 1.057  WFC  119.0  180  HeI 5870                         
 518299 uvex_6277 r      20:56:04.55 +47:36:59.5 2000.00  01:51 1.057  WFC   29.5  180  r                                
 518300 uvex_6277 U      20:56:04.55 +47:36:59.6 2000.00  01:53 1.057  WFC  120.0  180  U                                
 518301 uvex_6277 g      20:56:04.55 +47:36:59.4 2000.00  01:55 1.057  WFC   30.1  180  g                                
 518302 uvex_6277o He1   20:56:34.27 +47:41:59.5 2000.00  01:57 1.058  WFC  120.0  180  HeI 5870                         
 518303 uvex_6277o r     20:56:34.27 +47:41:59.4 2000.00  01:59 1.058  WFC   30.1  180  r                                
 518304 uvex_6277o U     20:56:34.27 +47:41:59.4 2000.00  02:00 1.058  WFC  119.5  180  U                                
 518305 uvex_6277o g     20:56:34.27 +47:41:59.4 2000.00  02:03 1.058  WFC   29.5  180  g                                
 518306 uvex_6280o He1   20:56:48.08 +51:43:59.8 2000.00  02:04 1.088  WFC  120.0  180  HeI 5870                         
 518307 uvex_6280o r     20:56:48.07 +51:43:59.4 2000.00  02:07 1.088  WFC   30.0  180  r                                
 518308 uvex_6280o U     20:56:48.07 +51:43:59.3 2000.00  02:08 1.088  WFC  120.0  180  U                                
 518309 uvex_6280o g     20:56:48.08 +51:43:59.4 2000.00  02:11 1.089  WFC   30.1  180  g                                
 518310 uvex_6281 He1    20:56:19.84 +46:08:59.2 2000.00  02:12 1.052  WFC  119.9  180  HeI 5870                         
 518311 uvex_6281 r      20:56:19.84 +46:08:59.6 2000.00  02:15 1.052  WFC   30.1  180  r                                
 518312 uvex_6281 U      20:56:19.83 +46:08:59.4 2000.00  02:16 1.053  WFC  120.0  180  U                                
 518313 uvex_6281 g      20:56:19.84 +46:08:59.5 2000.00  02:19 1.054  WFC   30.1  180  g                                
 518314 uvex_6281o He1   20:56:48.75 +46:13:59.5 2000.00  02:20 1.055  WFC  120.0  180  HeI 5870                         
 518315 uvex_6281o r     20:56:48.75 +46:13:59.5 2000.00  02:23 1.055  WFC   30.1  180  r                                
 518316 uvex_6281o U     20:56:48.74 +46:13:59.5 2000.00  02:24 1.056  WFC  120.0  180  U                                
 518317 uvex_6281o g     20:56:48.74 +46:13:59.5 2000.00  02:26 1.057  WFC   30.1  180  g                                
 518318 uvex_6283 He1    20:56:23.72 +49:37:59.8 2000.00  02:28 1.080  WFC  120.0  180  HeI 5870                         
 518319 uvex_6283 r      20:56:23.73 +49:37:59.5 2000.00  02:30 1.081  WFC   30.1  180  r                                
 518320 uvex_6283 U      20:56:23.73 +49:37:59.4 2000.00  02:32 1.082  WFC  120.0  180  U                                
 518321 uvex_6283 g      20:56:23.73 +49:37:59.5 2000.00  02:34 1.083  WFC   30.1  180  g                                
