 550369 HD112299vr 45s   12:55:27.50 +25:44:06.9 2000.00  03:34 1.004  IDS   45.0  305  Clear+Clear   1.5  48.6 6297.9   
 550370 HD112299vr 30s   12:55:27.49 +25:44:06.8 2000.00  03:35 1.004  IDS   30.0  305  Clear+Clear   1.5  48.6 6297.9   
 550371 Feige56 CuAr+CuN 12:04:13.68 +11:56:53.2 1950.00  03:38 1.057  IDS    2.0  305  Clear+Clear   1.5  48.6 6297.9   
 550372 Feige56 240s     12:04:13.50 +11:56:47.1 1950.00  03:40 1.060  IDS  240.0  305  Clear+Clear   1.5  48.6 6297.9   
 550373 Feige66 CuAr+CuN 12:37:21.64 +25:03:50.3 2000.00  03:49 1.004  IDS    2.0   40  Clear+Clear   1.5  48.6 6297.9   
 550374 Feige66 240s     12:37:21.72 +25:03:48.8 2000.00  03:51 1.005  IDS  240.0   40  Clear+Clear   1.5  48.6 6297.9   
 550375 V1054Oph CuAr+Cu 16:55:29.06 -08:19:58.2 2000.00  04:02 2.512  IDS    2.0  310  Clear+Clear   1.5  48.6 6297.9   
 550376 V1054Oph 10s     16:55:29.03 -08:19:59.1 2000.00  04:04 2.482  IDS   10.0  310  Clear+Clear   1.5  48.6 6297.9   
 550377 V1054OphB 90s    16:55:25.56 -08:19:11.1 2000.00  04:08 2.385  IDS   90.0  310  Clear+Clear   1.5  48.6 6297.9   
 550378 V1054OphC CuAr+C 16:55:35.66 -08:23:30.6 2000.00  04:13 2.320  IDS    2.0  310  Clear+Clear   1.5  48.6 6297.9   
 550379 V1054OphC 300s   16:55:35.73 -08:23:30.4 2000.00  04:14 2.258  IDS  300.0  310  Clear+Clear   1.5  48.6 6297.9   
 550380 V1054OphC 300s   16:55:35.89 -08:23:31.1 2000.00  04:20 2.170  IDS  300.0  310  Clear+Clear   1.5  48.6 6297.9   
 550381 V1054OphC 300s   16:55:36.05 -08:23:32.0 2000.00  04:26 2.094  IDS  300.0  310  Clear+Clear   1.5  48.6 6297.9   
 550382 V1054OphC 300s   16:55:36.14 -08:23:32.6 2000.00  04:32 2.026  IDS  300.0  310  Clear+Clear   1.5  48.6 6297.9   
 550383 V1054OphC 300s   16:55:36.24 -08:23:33.6 2000.00  04:37 1.959  IDS  300.0  310  Clear+Clear   1.5  48.6 6297.9   
 550384 V1054OphC 300s   16:55:36.47 -08:23:34.3 2000.00  04:43 1.902  IDS  300.0  310  Clear+Clear   1.5  48.6 6297.9   
 550385 V866Oph CuAr+CuN 16:11:31.46 -18:38:19.4 2000.00  04:55 1.845  IDS    2.0  325  Clear+Clear   1.5  48.6 6297.9   V866 Sco!
 550386 V866Oph 300s     16:11:31.44 -18:38:18.7 2000.00  04:56 1.821  IDS  300.0  325  Clear+Clear   1.5  48.6 6297.9   
 550387 V866Oph 120s     16:11:31.52 -18:38:18.9 2000.00  05:03 1.789  IDS  120.0  325  Clear+Clear   1.5  48.6 6297.9   
 550388 V1121Oph CuAr+Cu 16:49:15.39 -14:22:00.9 2000.00  05:07 1.866  IDS    2.0  320  Clear+Clear   1.5  48.6 6297.9   
 550389 V1121Oph 300s    16:49:15.42 -14:21:59.4 2000.00  05:09 1.836  IDS  300.0  320  Clear+Clear   1.5  48.6 6297.9   
 550390 V1121Oph 120s    16:49:15.40 -14:21:58.8 2000.00  05:14 1.805  IDS  120.0  320  Clear+Clear   1.5  48.6 6297.9   
 550391 V1124OphC CuAr+C 16:55:34.30 -08:23:38.0 2000.00  05:19 1.638  IDS    2.0  320  Clear+Clear   1.5  48.6 6297.9   V1054 Oph = vB 8
 550392 V1054OphC 1800s  16:55:34.33 -08:23:37.7 2000.00  05:20 1.547  IDS 1800.0  320  Clear+Clear   1.5  48.6 6297.9   
 550393 V1124OphC CuAr+C 16:55:34.58 -08:23:39.6 2000.00  05:51 1.470  IDS    2.0  320  Clear+Clear   1.5  48.6 6297.9   V1054 Oph = vB 8
 550394 V1121Oph CuAr+Cu 16:49:15.08 -14:22:06.6 2000.00  05:57 1.571  IDS    2.0  330  Clear+Clear   1.5  48.6 6297.9   
 550395 V1121Oph 300s    16:49:14.73 -14:22:03.2 2000.00  05:59 1.552  IDS  300.0  330  Clear+Clear   1.5  48.6 6297.9   
 550396 V1121Oph 120s    16:49:14.88 -14:22:03.3 2000.00  06:05 1.537  IDS  120.0  330  Clear+Clear   1.5  48.6 6297.9   
 550397 V866Sco CuAr+CuN 16:11:30.61 -18:38:21.8 2000.00  06:12 1.532  IDS    2.0  345  Clear+Clear   1.5  48.6 6297.9   
 550398 V866Oph 300s     16:11:30.67 -18:38:21.6 2000.00  06:13 1.524  IDS  300.0  345  Clear+Clear   1.5  48.6 6297.9   
 550399 V866Oph 120s     16:11:30.81 -18:38:21.6 2000.00  06:19 1.516  IDS  120.0  345  Clear+Clear   1.5  48.6 6297.9   
 550400 BD+33_2642 CuAr+ 15:50:01.41 +33:05:40.8 1950.00  06:27 1.006  IDS    2.0  345  Clear+Clear   1.5  48.6 6297.9   
 550401 BD+33_2642 120s  15:50:01.37 +33:05:39.7 1950.00  06:29 1.005  IDS  120.0  345  Clear+Clear   1.5  48.6 6297.9   
 550402 BD+33_2642 180s  15:50:01.39 +33:05:39.2 1950.00  06:32 1.004  IDS  180.0  345  Clear+Clear   1.5  48.6 6297.9   
 550403 Kopff27 CuAr+CuN 17:41:28.08 +05:26:09.9 1950.00  06:38 1.253  IDS    2.0  345  Clear+Clear   1.5  48.6 6297.9   
 550404 Kopff27 240s     17:41:28.15 +05:26:13.1 1950.00  06:40 1.242  IDS  240.0  345  Clear+Clear   1.5  48.6 6297.9   
