 566803 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:29 1.278  WFC   30.1  180  g                                
 566804 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:30 1.274  WFC   30.1  180  g                                
 566805 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:31 1.271  WFC   30.1  180  g                                
 566806 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:32 1.268  WFC   30.1  180  g                                
 566807 field 13 g       17:55:00.00 +02:21:59.9 2000.00  23:33 1.266  WFC   29.5  180  g                                
 566808 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:34 1.263  WFC   29.6  180  g                                
 566809 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:35 1.260  WFC   30.0  180  g                                
 566810 SA107 g          15:38:51.00 -00:22:49.0 2000.00  23:37 1.153  WFC   15.6  180  g                                
 566811 SA107 r          15:38:51.00 -00:22:49.1 2000.00  23:38 1.153  WFC   16.1  180  r                                
 566812 SA107 U          15:38:50.99 -00:22:49.0 2000.00  23:40 1.155  WFC   40.1  180  U                                
 566813 field14 U        18:01:00.00 +00:41:59.9 2000.00  23:46 1.262  WFC  240.0  180  U                                
 566814 field14 g        18:00:59.99 +00:41:59.9 2000.00  23:51 1.252  WFC  120.0  180  g                                
 566815 field14 r        18:00:59.99 +00:41:59.9 2000.00  23:53 1.246  WFC  120.0  180  r                                
 566816 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  23:56 1.240  WFC   30.1  180  CLEAR                            
 566817 field 14 clear   18:00:59.99 +00:41:59.9 2000.00  23:57 1.238  WFC   30.1  180  CLEAR                            
 566818 field 14 clear   18:00:59.99 +00:41:59.9 2000.00  23:58 1.236  WFC   30.0  180  CLEAR                            
 566819 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  23:59 1.233  WFC   30.1  180  CLEAR                            
 566820 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:00 1.231  WFC   30.2  180  CLEAR                            
 566821 field 14 clear   18:01:00.01 +00:42:00.0 2000.00  00:01 1.229  WFC   30.1  180  CLEAR                            
 566822 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:02 1.227  WFC   30.1  180  CLEAR                            
 566823 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:03 1.224  WFC   30.1  180  CLEAR                            
 566824 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:04 1.222  WFC   30.1  180  CLEAR                            
 566825 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:05 1.220  WFC   30.1  180  CLEAR                            
 566826 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:06 1.218  WFC   30.1  180  CLEAR                            
 566827 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:07 1.216  WFC   30.1  180  CLEAR                            
 566828 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:08 1.214  WFC   30.1  180  CLEAR                            
 566829 field 14 clear   18:00:59.99 +00:41:59.9 2000.00  00:09 1.212  WFC   30.1  180  CLEAR                            
 566830 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:10 1.210  WFC   30.1  180  CLEAR                            
 566831 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:11 1.208  WFC   30.1  180  CLEAR                            
 566832 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:12 1.206  WFC   30.1  180  CLEAR                            
 566833 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:13 1.204  WFC   30.1  180  CLEAR                            
 566834 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:14 1.202  WFC   29.0  180  CLEAR                            
 566835 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:15 1.200  WFC   30.1  180  CLEAR                            
 566836 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:16 1.198  WFC   30.1  180  CLEAR                            
 566837 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:17 1.197  WFC   29.6  180  CLEAR                            
 566838 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:18 1.195  WFC   30.1  180  CLEAR                            
 566839 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:19 1.193  WFC   30.1  180  CLEAR                            
 566840 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:20 1.191  WFC   30.1  180  CLEAR                            
 566841 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:21 1.190  WFC   30.1  180  CLEAR                            
 566842 field 14 clear   18:00:59.99 +00:41:59.9 2000.00  00:22 1.188  WFC   30.1  180  CLEAR                            
 566843 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:23 1.187  WFC   30.1  180  CLEAR                            
 566844 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:24 1.185  WFC   30.1  180  CLEAR                            
 566845 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:25 1.183  WFC   30.1  180  CLEAR                            
 566846 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:26 1.182  WFC   30.1  180  CLEAR                            
 566847 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:27 1.180  WFC   29.6  180  CLEAR                            
 566848 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:28 1.179  WFC   30.1  180  CLEAR                            
 566849 field 14 clear   18:00:59.99 +00:41:59.9 2000.00  00:29 1.177  WFC   30.1  180  CLEAR                            
 566850 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:30 1.176  WFC   30.1  180  CLEAR                            
 566851 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:31 1.174  WFC   30.1  180  CLEAR                            
 566852 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:32 1.173  WFC   30.1  180  CLEAR                            
 566853 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:33 1.172  WFC   29.5  180  CLEAR                            
 566854 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:34 1.170  WFC   30.1  180  CLEAR                            
 566855 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:35 1.169  WFC   30.1  180  CLEAR                            
 566856 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:36 1.168  WFC   30.1  180  CLEAR                            
 566857 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:37 1.167  WFC   30.0  180  CLEAR                            
 566858 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:38 1.165  WFC   29.5  180  CLEAR                            
 566859 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:39 1.164  WFC   30.0  180  CLEAR                            
 566860 field 14 clear   18:01:00.00 +00:42:00.0 2000.00  00:40 1.163  WFC   30.1  180  CLEAR                            
 566861 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:41 1.162  WFC   29.5  180  CLEAR                            
 566862 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:42 1.161  WFC   30.1  180  CLEAR                            
 566863 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:43 1.159  WFC   30.1  180  CLEAR                            
 566864 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:44 1.158  WFC   30.1  180  CLEAR                            
 566865 field 14 clear   18:00:59.99 +00:41:59.9 2000.00  00:45 1.157  WFC   30.1  180  CLEAR                            
 566866 field 14 clear   18:00:59.99 +00:41:59.9 2000.00  00:46 1.156  WFC   30.1  180  CLEAR                            
 566867 field 14 clear   18:00:59.99 +00:41:59.9 2000.00  00:47 1.155  WFC   30.1  180  CLEAR                            
 566868 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:48 1.154  WFC   29.6  180  CLEAR                            
 566869 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:49 1.153  WFC   29.6  180  CLEAR                            
 566870 field 14 clear   18:01:00.00 +00:41:59.9 2000.00  00:50 1.152  WFC   30.1  180  CLEAR                            
 566871 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:51 1.151  WFC   30.1  180  CLEAR                            
 566872 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:52 1.150  WFC   30.1  180  CLEAR                            
 566873 field 14 clear   18:00:59.99 +00:42:00.0 2000.00  00:53 1.150  WFC   30.1  180  CLEAR                            
 566874 field 14 clear   18:00:59.99 +00:41:59.9 2000.00  00:54 1.149  WFC   30.1  180  CLEAR                            
