 552118 2004gu9          13:51:35.00 +61:25:17.4 2000.00  01:19 1.383  WFC   40.0  180  r                                
 552119 2004gu9          13:51:35.04 +61:25:17.5 2000.00  01:20 1.380  WFC   39.5  180  r                                
 552120 2004gu9          13:51:35.03 +61:25:17.5 2000.00  01:21 1.378  WFC   40.1  180  r                                
 552121 2004gu9          13:51:35.04 +61:25:17.5 2000.00  01:23 1.375  WFC   40.1  180  r                                
 552122 2007da            9:47:07.99 +23:41:41.0 2000.00  01:26 1.047  WFC   32.1  180  r                                
 552123 2007da            9:47:08.00 +23:41:41.0 2000.00  01:27 1.048  WFC   32.1  180  r                                
 552124 2007da            9:47:08.00 +23:41:41.0 2000.00  01:28 1.050  WFC   32.1  180  r                                
 552125 2007da            9:47:07.99 +23:41:41.0 2000.00  01:29 1.051  WFC   32.1  180  r                                
 552126 2000ee104         9:47:08.00 +23:41:41.0 2000.00  01:32 1.054  WFC   26.6  180  r                                
 552127 2000ee104         9:47:08.00 +23:41:41.0 2000.00  01:33 1.056  WFC   27.1  180  r                                
 552128 2000ee104         9:47:07.99 +23:41:41.0 2000.00  01:34 1.057  WFC   27.1  180  r                                
 552129 2000ee104         9:47:08.00 +23:41:41.0 2000.00  01:35 1.058  WFC   26.5  180  r                                
 552130 2000ee104         9:27:32.33 +33:47:57.0 2000.00  01:37 1.084  WFC   27.1  180  r                                
 552131 2000ee104         9:27:32.33 +33:47:57.0 2000.00  01:38 1.086  WFC   27.1  180  r                                
 552132 2000ee104         9:27:32.34 +33:47:57.0 2000.00  01:39 1.087  WFC   27.1  180  r                                
 552133 2000ee104         9:27:32.33 +33:47:57.0 2000.00  01:40 1.089  WFC   27.1  180  r                                
 552134 1999jv6          13:04:19.24 +08:20:16.2 2000.00  01:43 1.182  WFC   35.1  180  r                                
 552135 1999jv6          13:04:19.25 +08:20:16.3 2000.00  01:45 1.180  WFC   35.1  180  r                                
