 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 610419 HD 102212 M1III  11:45:50.94 +06:31:53.1  2000.00 01:16 1.081  IDS    5.0    0  Clear+Clear   1.0  41.6 8031.1   
 610420 CuNe+CuAr bin 3  11:45:50.95 +06:31:52.5  2000.00 01:16 1.081  IDS    1.5    0  Clear+Clear   1.0  41.6 8031.1   
 610421 flat 8030A       11:45:50.94 +06:31:52.5  2000.00 01:16 1.081  IDS    1.5    0  Clear+Clear   1.0  41.6 8031.1   
 610422 HD 115521 M1III  13:17:35.85 +05:28:25.7  2000.00 01:21 1.162  IDS   20.0  321  Clear+Clear   1.0  41.6 8031.1   
 610423 CuNe+CuAr bin 3  13:17:35.82 +05:28:26.3  2000.00 01:22 1.161  IDS    3.0  321  Clear+Clear   1.0  41.6 8031.1   
 610424 flat 8030A       13:17:35.83 +05:28:26.2  2000.00 01:22 1.160  IDS    1.5  321  Clear+Clear   1.0  41.6 8031.1   
 610425 HD 119228 M2IIIA 13:40:43.31 +54:41:05.9  2000.00 01:27 1.175  IDS   10.0  226  Clear+Clear   1.0  41.6 8031.1   
 610426 CuNe+CuAr bin 3  13:40:43.34 +54:41:05.7  2000.00 01:27 1.174  IDS    3.0  226  Clear+Clear   1.0  41.6 8031.1   
 610427 flat 8030A       13:40:43.34 +54:41:05.7  2000.00 01:27 1.174  IDS    1.5  226  Clear+Clear   1.0  41.6 8031.1   
 610428 HD 120052 M2III  13:47:25.41 -17:51:17.5  2000.00 01:33 1.648  IDS   40.0  333  Clear+Clear   1.0  41.6 8031.1   
 610429 CuNe+CuAr bin 3  13:47:25.46 -17:51:17.0  2000.00 01:34 1.645  IDS    3.0  333  Clear+Clear   1.0  41.6 8031.1   
 610430 flat 8030A       13:47:25.47 -17:51:17.0  2000.00 01:34 1.644  IDS    1.5  333  Clear+Clear   1.0  41.6 8031.1   
 610431 HD 97778 M3IIB   11:15:11.94 +23:05:38.4  2000.00 01:40 1.031  IDS   20.0   64  Clear+Clear   1.0  41.6 8031.1   
 610432 CuNe+CuAr bin 3  11:15:11.94 +23:05:38.4  2000.00 01:41 1.032  IDS    3.0   64  Clear+Clear   1.0  41.6 8031.1   
 610433 flat 8030A       11:15:11.94 +23:05:38.4  2000.00 01:41 1.032  IDS    1.5   64  Clear+Clear   1.0  41.6 8031.1   
 610434 HD 112300 M3III  12:55:35.42 +03:24:05.9  2000.00 01:45 1.122  IDS    1.0  340  Clear+Clear   1.0  41.6 8031.1   
 610435 CuNe+CuAr bin 3  12:55:37.77 +03:23:53.3  2000.00 01:49 1.119  IDS    3.0  340  Clear+Clear   1.0  41.6 8031.1   
 610436 flat 8030A       12:55:37.78 +03:23:53.4  2000.00 01:49 1.119  IDS    1.5  340  Clear+Clear   1.0  41.6 8031.1   
 610437 HD 92620 M4III   10:42:11.35 +31:41:46.3  2000.00 01:54 1.084  IDS    5.0   91  Clear+Clear   1.0  41.6 8031.1   
 610438 CuNe+CuAr bin 3  10:42:11.37 +31:41:46.3  2000.00 01:55 1.085  IDS    3.0   91  Clear+Clear   1.0  41.6 8031.1   
 610439 flat 8030A       10:42:11.37 +31:41:46.2  2000.00 01:55 1.085  IDS    1.5   91  Clear+Clear   1.0  41.6 8031.1   
 610440 HD 94705 M5.5III 10:56:01.04 +06:11:11.4  2000.00 01:58 1.177  IDS    1.0   41  Clear+Clear   1.0  41.6 8031.1   
 610441 CuNe+CuAr bin 3  10:56:01.04 +06:11:11.4  2000.00 01:59 1.178  IDS    3.0   41  Clear+Clear   1.0  41.6 8031.1   
 610442 flat 8030A       10:56:01.04 +06:11:11.4  2000.00 01:59 1.179  IDS    1.5   41  Clear+Clear   1.0  41.6 8031.1   
 610443 HD 108849 M7III  12:30:20.31 +04:25:09.7  2000.00 02:02 1.098  IDS    2.0    1  Clear+Clear   1.0  41.6 8031.1   
 610444 CuNe+CuAr bin 3  12:30:20.32 +04:25:09.8  2000.00 02:03 1.098  IDS    3.0    1  Clear+Clear   1.0  41.6 8031.1   
 610445 flat 8030A       12:30:20.32 +04:25:09.7  2000.00 02:03 1.098  IDS    1.5    1  Clear+Clear   1.0  41.6 8031.1   
 610446 Rotation test     0:00:00.00 +00:00:00.0  2000.00 02:17 1.000  IDS    5.0    1  Clear+Clear   0.5  65.2 7494.6   
 610447 Rotation test     0:00:00.00 +00:00:00.0  2000.00 02:24 1.235  IDS    5.0    1  Clear+Clear   0.5  65.2 7494.6   
 610448 Rotation test     0:00:00.00 +00:00:00.0  2000.00 02:27 1.235  IDS    5.0    1  Clear+Clear   0.5  65.2 7494.6   
 610449 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 02:29 1.235  IDS    5.0    1  Clear+Clear   0.5  65.2 7494.6   
 610450 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 02:30 1.235  IDS    5.0    1  Clear+Clear   0.5  65.2 7494.6   Closing at 02:50 due to high clouds
 610451 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:10 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610452 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:10 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610453 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:10 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610454 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:10 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610455 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:10 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610456 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:11 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610457 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:11 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610458 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:11 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610459 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:11 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610460 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:11 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610461 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:12 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610462 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:12 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610463 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:12 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610464 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:12 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610465 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:12 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610466 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:13 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
