field,dir,n_matched,n_outliers_5p,n_outliers_10p,n_outliers_20p,n_5p_r,n_5p_i,n_5p_h,n_10p_r,n_10p_i,n_10p_h,n_20p_r,n_20p_i,n_20p_h,med_dr,med_di,med_dh,std_dr,std_di,std_dh,file1,file2
0034,iphas_oct2006b,4073,250,13,2,53,30,167,5,1,7,2,0,0,0.00251007080078,-0.00156784057617,-0.00346851348877,0.0233676966532,0.0188159018635,0.0319012641883,newmerges/iphas_oct2006b/intphas_0034_mercat.fits,newmerges/iphas_oct2006b/intphas_0034o_mercat.fits
0035,iphas_nov2003b,4073,250,13,2,53,30,167,5,1,7,2,0,0,0.00251007080078,-0.00156784057617,-0.00346851348877,0.0233676966532,0.0188159018635,0.0319012641883,newmerges/iphas_oct2006b/intphas_0034_mercat.fits,newmerges/iphas_oct2006b/intphas_0034o_mercat.fits
0035,iphas_oct2005b,5508,138,2,0,32,18,88,1,0,1,0,0,0,0.00196838378906,-0.00302791595459,-0.00852203369141,0.0204339160457,0.0172366669453,0.0249018088486,newmerges/iphas_oct2005b/intphas_0035_mercat.fits,newmerges/iphas_oct2005b/intphas_0035o_mercat.fits
0036,iphas_dec2003,1257,362,36,4,99,75,188,8,2,26,2,0,2,0.202894210815,0.497959136963,-0.362452507019,0.0332513061288,0.0270333981401,0.0408909427511,newmerges/iphas_dec2003/intphas_0036_mercat.fits,newmerges/iphas_dec2003/intphas_0036o_mercat.fits
0036,iphas_oct2009,2347,99,13,5,32,29,38,5,3,5,3,0,2,-0.0244159698486,0.00322532653809,-0.0111474990845,0.025972994109,0.0201988971941,0.130952995024,newmerges/iphas_oct2009/intphas_0036_mercat.fits,newmerges/iphas_oct2009/intphas_0036o_mercat.fits
0037,iphas_dec2003,204,44,2,0,10,11,23,0,0,2,0,0,0,0.800918579102,0.87113571167,-0.0179529190063,0.0284069483122,0.0250548110771,0.0338671406281,newmerges/iphas_dec2003/intphas_0037_mercat.fits,newmerges/iphas_dec2003/intphas_0037o_mercat.fits
0037,iphas_oct2006b,969,39,3,0,8,4,27,0,1,2,0,0,0,-0.00850105285645,-0.0123300552368,-0.00367450714111,0.020869662356,0.0186745640402,0.0293497624267,newmerges/iphas_oct2006b/intphas_0037_mercat.fits,newmerges/iphas_oct2006b/intphas_0037o_mercat.fits
0038,iphas_dec2003,4363,474,43,7,194,133,147,16,9,18,1,2,4,0.0856132507324,0.0120649337769,0.0471014976501,0.0287834416893,0.0261681958605,0.0306590203658,newmerges/iphas_dec2003/intphas_0038_mercat.fits,newmerges/iphas_dec2003/intphas_0038o_mercat.fits
0039,iphas_dec2003,2480,250,12,1,79,70,101,4,1,7,1,0,0,0.0139980316162,-0.000210285186768,0.0743174552917,0.0302224720092,0.0236735823945,0.0286892438382,newmerges/iphas_dec2003/intphas_0039_mercat.fits,newmerges/iphas_dec2003/intphas_0039o_mercat.fits
0040,iphas_dec2003,1758,1121,233,25,366,576,179,91,137,5,13,12,0,-0.792385101318,-1.16294288635,-0.140767097473,0.052578132083,0.0623579702128,0.0306607099955,newmerges/iphas_dec2003/intphas_0040_mercat.fits,newmerges/iphas_dec2003/intphas_0040o_mercat.fits
0040,iphas_oct2009,3545,215,13,3,51,50,114,2,6,5,0,2,1,-0.00592803955078,0.00532722473145,-0.00344944000244,0.0200706311661,0.0275185723107,0.0290689515966,newmerges/iphas_oct2009/intphas_0040_mercat.fits,newmerges/iphas_oct2009/intphas_0040o_mercat.fits
0041,iphas_dec2003,240,309,98,7,71,159,79,21,60,17,6,1,0,0.828151702881,0.193818092346,-0.773568153381,0.0804257302012,0.0857894011483,0.0542620750588,newmerges/iphas_dec2003/intphas_0041_mercat.fits,newmerges/iphas_dec2003/intphas_0041o_mercat.fits
0041,iphas_oct2006b,1573,55,4,1,6,5,44,0,1,3,0,0,1,0.00198554992676,-0.0106701850891,-0.00017261505127,0.0197210611864,0.0165811307941,0.0295738714144,newmerges/iphas_oct2006b/intphas_0041_mercat.fits,newmerges/iphas_oct2006b/intphas_0041o_mercat.fits
0042,iphas_dec2003,1086,486,51,3,265,68,153,30,4,17,1,2,0,0.846153259277,0.50443649292,2.03178834915,0.0483737689875,0.0376070664584,0.046302776097,newmerges/iphas_dec2003/intphas_0042_mercat.fits,newmerges/iphas_dec2003/intphas_0042o_mercat.fits
0042,iphas_oct2006b,8321,280,29,9,64,29,187,13,5,11,3,2,4,-0.00680923461914,-0.00128555297852,-0.0024528503418,0.022493103246,0.0192955296111,0.318055133526,newmerges/iphas_oct2006b/intphas_0042_mercat.fits,newmerges/iphas_oct2006b/intphas_0042o_mercat.fits
0043,iphas_dec2003,619,762,245,61,225,168,369,48,35,162,5,3,53,-0.418737411499,0.271423339844,-1.80677700043,0.0615261161846,0.0600905043391,0.117198905243,newmerges/iphas_dec2003/intphas_0043_mercat.fits,newmerges/iphas_dec2003/intphas_0043o_mercat.fits
0043,iphas_oct2006b,3286,319,55,14,85,54,180,17,3,35,5,1,8,-0.00462913513184,0.00142908096313,-0.000553131103516,0.030790278522,0.0243815938331,0.0408252896345,newmerges/iphas_oct2006b/intphas_0043_mercat.fits,newmerges/iphas_oct2006b/intphas_0043o_mercat.fits
0044,iphas_dec2003,609,277,30,3,129,49,99,17,4,9,1,1,1,2.17246437073,2.53931713104,1.3660774231,0.0494581530905,0.0463997305677,0.0406926064995,newmerges/iphas_dec2003/intphas_0044_mercat.fits,newmerges/iphas_dec2003/intphas_0044o_mercat.fits
0044,iphas_oct2005b,5578,226,8,0,31,65,130,0,6,2,0,0,0,-0.000146865844727,-0.00590705871582,-0.00207757949829,0.0200455104762,0.0213823356497,0.0266685450783,newmerges/iphas_oct2005b/intphas_0044_mercat.fits,newmerges/iphas_oct2005b/intphas_0044o_mercat.fits
