# col1     col2  col3 col4       col5    col6    col7    col8    col9    col10   col11   col12   col13   col14   col15  
  oct2003  0622  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0622o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0623  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0623o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0624  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0624o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0625  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0625o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0626  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0626o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0627  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0627o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0628  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0628o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0629  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0629o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0630  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0630o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0631  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0631o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0633  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0633o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0634  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0634o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0635  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0635o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0636  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0636o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0637  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0637o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0638  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0638o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0639  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0639o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0640  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0640o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0642  1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  oct2003  0642o 1 2003-10-19 24.52   23.9    21.38   24.51   23.89   21.37   -0.01   -0.01   -0.01   0.62    3.14   
  sep2003  0655  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0655o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
